clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
8.419,32,5,727,1231,22,10,19,10,17.103,654,654,0,0,498,16,0,5
7.966,32,5,856,1358,23,10,20,10,17.465,689,680,0,9,538,16,0,5
8.644,32,5,4579,3933,146,72,17,72,26.563,4135,4135,0,0,4204,16,0,5
7.966,32,5,829,1412,24,13,21,13,23.615,786,786,0,0,604,16,0,5
8.419,32,5,943,1515,25,13,22,13,23.602,841,832,0,9,629,16,0,5
8.644,32,5,4649,4091,148,75,19,75,33.672,3973,3973,0,0,4278,16,0,5
8.59,32,16,7977,11137,209,198,21,198,120.851,3574,2974,0,600,5825,16,0,16
8.59,32,16,8106,11252,210,198,22,198,125.234,3652,3043,0,609,5839,16,0,16
8.999,32,16,11630,13783,333,260,19,260,140.179,6984,6384,0,600,10224,16,0,16
8.423,32,5,747,1552,23,12,20,12,16.347,721,721,0,0,535,16,0,5
7.966,32,5,856,2157,24,29,21,29,18.075,975,975,0,0,812,16,0,5
8.423,32,10,1165,1849,25,12,22,12,20.587,1038,1038,0,0,750,16,0,10
8.572,32,5,839,2117,26,24,21,24,17.536,980,980,0,0,675,16,0,5
8.423,32,5,796,1635,24,12,21,12,15.951,784,784,0,0,562,16,0,5
7.966,32,5,918,2256,25,29,22,29,18.225,1014,1014,0,0,809,16,0,5
8.423,32,10,1357,2004,26,12,23,12,21.111,1064,1057,0,7,818,16,0,10
8.572,32,10,1591,2701,27,24,24,24,22.547,1245,1238,0,7,954,16,0,10
9.047,32,10,5337,4018,147,42,20,42,29.246,3896,3896,0,0,4744,16,0,10
8.48,32,18,5308,6222,148,54,24,54,36.918,4457,4457,0,0,4349,16,0,18
9.101,32,10,8758,6111,275,74,20,74,36.296,6720,6720,0,0,7922,16,0,10
9.229,32,20,10221,6459,276,54,25,54,42.893,6624,6624,0,0,9058,16,0,20
8.423,32,8,999,1692,26,12,21,12,19.002,805,805,0,0,647,16,0,8
7.966,32,8,1106,2283,27,22,22,22,21.194,1053,1053,0,0,959,16,0,8
8.423,32,10,1257,1864,28,12,22,12,21.396,1071,1071,0,0,811,16,0,10
8.572,32,8,1089,2241,29,17,22,17,20.942,1041,1041,0,0,855,16,0,8
8.423,32,8,1048,1775,27,12,22,12,19.88,875,875,0,0,679,16,0,8
7.966,32,8,1168,2382,28,22,23,22,22.182,1091,1091,0,0,970,16,0,8
8.423,32,10,1449,2019,29,12,23,12,22.387,1078,1071,0,7,879,16,0,10
8.572,32,10,1681,2702,30,17,24,17,23.224,1248,1241,0,7,1070,16,0,10
9.634,32,10,5397,4009,150,42,20,42,30.854,4131,4131,0,0,4719,16,0,10
8.48,32,18,5366,6201,151,47,24,47,39.394,4581,4581,0,0,4405,16,0,18
9.687,32,10,8818,6102,278,74,20,74,37.035,6547,6547,0,0,8949,16,0,10
9.382,32,20,10279,6436,279,47,25,47,45.076,6577,6577,0,0,9147,16,0,20
8.423,32,5,851,1749,25,16,22,16,23.452,845,845,0,0,634,16,0,5
7.966,32,5,946,2385,26,41,23,41,23.692,1125,1125,0,0,856,16,0,5
8.423,32,10,1269,2046,27,16,24,16,28.703,1194,1194,0,0,862,16,0,10
8.419,32,5,946,2347,28,36,23,36,24.536,1151,1151,0,0,820,16,0,5
8.423,32,5,900,1830,26,16,23,16,23.352,934,934,0,0,663,16,0,5
7.966,32,5,1008,2480,27,41,24,41,23.88,1217,1217,0,0,948,16,0,5
8.423,32,10,1461,2187,28,16,25,16,28.983,1209,1201,0,8,930,16,0,10
