prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1,7.966,11,5,653,977,14,7,12,7,2x32,1x32,12.335,526,526,0,0,485,4,3,5
io1_l1n1n1_l3n1p1,7.966,12,5,781,1079,15,7,13,7,2x32,1x32,14.49,569,564,0,5,505,5,2,5
io1_l1n1n1_l3p1n1,8.59,12,10,3347,3324,138,69,12,69,2x32,1x32,24.399,2319,2319,0,0,3119,5,2,10
io1_l1n1p1_l3n1n1,7.966,11,5,680,1054,15,7,13,7,2x32,1x32,13.477,617,617,0,0,517,4,3,5
io1_l1n1p1_l3n1p1,7.966,12,5,808,1140,16,7,14,7,2x32,1x32,17.692,643,638,0,5,537,5,2,5
io1_l1n1p1_l3p1n1,8.59,12,10,3374,3401,139,69,13,69,2x32,1x32,28.884,2368,2368,0,0,3151,5,2,10
io1_l1p1n1_l3n1n1,8.59,12,10,8868,5213,138,69,12,69,2x32,1x32,37.11,4218,3622,0,596,7395,5,2,10
io1_l1p1n1_l3n1p1,8.59,13,10,8996,5315,139,69,13,69,2x32,1x32,58.299,4281,3680,0,601,7431,6,1,10
io1_l1p1n1_l3p1n1,7.984,13,10,10599,7107,262,131,10,131,2x32,1x32,67.609,5665,5069,0,596,9045,6,1,10
io2_l1n1n1_l3n1n1,8.423,14,5,734,1327,14,7,12,7,3x32,1x32,13.533,663,663,0,0,617,4,6,5
io2_l1n1n1_l3n1n1_d1d2,8.423,14,5,740,1534,15,17,13,17,3x32,1x32,13.989,734,734,0,0,750,4,6,5
io2_l1n1n1_l3n1n2,8.423,14,10,1152,1618,16,7,14,7,3x32,1x32,18.514,929,929,0,0,941,4,6,10
io2_l1n1n1_l3n1n2_d1d2,8.423,14,10,1157,1815,17,12,15,12,3x32,1x32,18.931,1013,1013,0,0,1007,4,6,10
io2_l1n1n1_l3n1p1,8.423,16,5,769,1458,15,7,13,7,3x32,1x32,14.878,843,843,0,0,641,4,4,5
io2_l1n1n1_l3n1p1_d1d2,8.423,16,5,769,1673,16,17,14,17,3x32,1x32,15.237,900,900,0,0,675,4,4,5
io2_l1n1n1_l3n1p2,8.423,18,10,1416,1836,17,7,15,7,3x32,1x32,18.604,1027,1022,0,5,964,6,0,10
io2_l1n1n1_l3n1p2_d1d2,8.423,18,10,1402,2032,18,12,16,12,3x32,1x32,18.597,1136,1131,0,5,1019,6,0,10
io2_l1n1n1_l3p1n1,9.68,16,18,4573,4050,138,37,15,37,3x32,1x32,34.879,4181,4181,0,0,4169,6,4,18
io2_l1n1n1_l3p1n1_d1d2,9.68,16,18,4571,4583,139,42,16,42,3x32,1x32,35.914,4386,4386,0,0,4160,6,4,18
io2_l1n1n1_l3p2n1,9.047,16,20,5322,4675,266,69,16,69,3x32,1x32,34.587,3702,3702,0,0,4867,6,4,20
io2_l1n1n1_l3p2n1_d1d2,9.653,16,38,7359,6111,267,42,24,42,3x32,1x32,50.244,6290,6290,0,0,6526,6,4,38
io2_l1n1n2_l3n1n1,8.423,14,8,986,1437,16,7,13,7,3x32,1x32,17.279,735,735,0,0,740,4,6,8
io2_l1n1n2_l3n1n1_d1d2,8.423,14,8,991,1634,17,12,14,12,3x32,1x32,18.302,817,817,0,0,775,4,6,8
io2_l1n1n2_l3n1n2,8.423,14,10,1180,1591,18,7,14,7,3x32,1x32,19.457,935,935,0,0,840,4,6,10
io2_l1n1n2_l3n1n2_d1d2,8.423,14,10,1248,1808,19,7,15,7,3x32,1x32,20.734,1029,1029,0,0,967,4,6,10
io2_l1n1n2_l3n1p1,8.423,16,8,1021,1568,17,7,14,7,3x32,1x32,19.758,918,918,0,0,764,4,4,8
io2_l1n1n2_l3n1p1_d1d2,8.423,16,8,1020,1773,18,12,15,12,3x32,1x32,20.364,953,953,0,0,763,4,4,8
io2_l1n1n2_l3n1p2,8.423,18,10,1444,1809,19,7,15,7,3x32,1x32,20.198,1027,1022,0,5,863,6,0,10
io2_l1n1n2_l3n1p2_d1d2,8.423,18,10,1493,2025,20,7,16,7,3x32,1x32,21.073,1158,1153,0,5,979,6,0,10
io2_l1n1n2_l3p1n1,9.029,16,18,4569,4019,140,37,15,37,3x32,1x32,38.532,4163,4163,0,0,4128,6,4,18
io2_l1n1n2_l3p1n1_d1d2,9.029,16,18,4630,4554,141,37,16,37,3x32,1x32,39.134,4436,4436,0,0,4183,6,4,18
io2_l1n1n2_l3p2n1,9.634,16,20,5318,4633,268,69,16,69,3x32,1x32,37.141,3707,3707,0,0,4830,6,4,20
io2_l1n1n2_l3p2n1_d1d2,9.672,16,38,7418,6077,269,37,24,37,3x32,1x32,55.842,6305,6305,0,0,6633,6,4,38
io2_l1n1p1_l3n1n1,8.423,14,5,767,1410,15,7,13,7,3x32,1x32,15.946,758,758,0,0,653,4,6,5
io2_l1n1p1_l3n1n1_d1d2,8.423,14,5,773,1617,16,17,14,17,3x32,1x32,16.416,805,805,0,0,687,4,6,5
io2_l1n1p1_l3n1n2,8.423,14,10,1185,1701,17,7,15,7,3x32,1x32,20.612,1034,1034,0,0,1010,4,6,10
io2_l1n1p1_l3n1n2_d1d2,8.423,14,10,1190,1898,18,12,16,12,3x32,1x32,21.503,1065,1065,0,0,976,4,6,10
io2_l1n1p1_l3n1p1,8.423,16,5,802,1541,16,7,14,7,3x32,1x32,16.537,894,894,0,0,677,4,4,5
io2_l1n1p1_l3n1p1_d1d2,8.423,16,5,802,1756,17,17,15,17,3x32,1x32,17.192,907,907,0,0,676,4,4,5
io2_l1n1p1_l3n1p2,8.423,18,10,1449,1919,18,7,16,7,3x32,1x32,23.501,1122,1117,0,5,1000,6,0,10
io2_l1n1p1_l3n1p2_d1d2,8.423,18,10,1435,2115,19,12,17,12,3x32,1x32,23.509,1175,1170,0,5,988,6,0,10
io2_l1n1p1_l3p1n1,9.68,16,18,4606,4133,139,37,16,37,3x32,1x32,41.728,4256,4256,0,0,4204,6,4,18
io2_l1n1p1_l3p1n1_d1d2,9.68,16,18,4597,4666,140,42,17,42,3x32,1x32,42.383,4461,4461,0,0,4188,6,4,18
io2_l1n1p1_l3p2n1,9.047,16,20,5355,4758,267,69,17,69,3x32,1x32,40.887,3653,3653,0,0,4904,6,4,20
io2_l1n1p1_l3p2n1_d1d2,9.653,16,38,7385,6194,268,42,25,42,3x32,1x32,60.444,6505,6505,0,0,6643,6,4,38
io2_l1n1p2_l3n1n1,8.423,14,5,889,1394,17,7,13,7,3x32,1x32,15.316,786,786,0,0,712,4,6,5
io2_l1n1p2_l3n1n1_d1d2,8.423,14,5,895,1591,18,12,14,12,3x32,1x32,16.074,865,865,0,0,778,4,6,5
io2_l1n1p2_l3n1n2,8.423,14,10,1243,1679,19,7,15,7,3x32,1x32,21.423,1091,1091,0,0,908,4,6,10
