prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1,8.419,11,5,653,971,14,7,12,7,8.95,512,512,0,0,485,4,3,5
io1_l1n1n1_l3n1p1,8.419,12,5,781,1073,15,7,13,7,10.898,561,554,0,7,505,5,2,5
io1_l1n1n1_l3p1n1,8.835,12,10,3347,3312,138,69,12,69,20.719,2308,2308,0,0,3131,5,2,10
io1_l1n1p1_l3n1n1,8.419,11,5,680,1048,15,7,13,7,10.308,594,594,0,0,517,4,3,5
io1_l1n1p1_l3n1p1,8.419,12,5,808,1134,16,7,14,7,12.527,622,615,0,7,537,5,2,5
io1_l1n1p1_l3p1n1,8.835,12,10,3374,3389,139,69,13,69,24.01,2348,2348,0,0,3180,5,2,10
io1_l1p1n1_l3n1n1,8.835,12,10,8868,5201,138,69,12,69,30.569,4211,3613,0,598,7348,5,2,10
io1_l1p1n1_l3n1p1,8.835,13,10,8996,5303,139,69,13,69,45.355,4258,3653,0,605,7368,6,1,10
io1_l1p1n1_l3p1n1,8.905,13,10,10599,7095,262,131,10,131,53.926,5724,5126,0,598,9337,6,1,10
io2_l1n1n1_l3n1n1,8.419,14,5,734,1321,14,7,12,7,11.346,625,625,0,0,623,4,6,5
io2_l1n1n1_l3n1n1_d1d2,8.419,14,5,740,1528,15,17,13,17,11.667,723,723,0,0,750,4,6,5
io2_l1n1n1_l3n1n2,8.419,14,10,1152,1606,16,7,14,7,14.382,930,930,0,0,946,4,6,10
io2_l1n1n1_l3n1n2_d1d2,8.419,14,10,1157,1803,17,12,15,12,14.837,1005,1005,0,0,1007,4,6,10
io2_l1n1n1_l3n1p1,8.419,16,5,769,1452,15,7,13,7,11.722,819,819,0,0,639,4,4,5
io2_l1n1n1_l3n1p1_d1d2,8.419,16,5,762,1667,16,17,14,17,11.724,872,872,0,0,634,4,4,5
io2_l1n1n1_l3n1p2,8.419,18,10,1416,1824,17,7,15,7,14.56,1016,1010,0,6,962,6,0,10
io2_l1n1n1_l3n1p2_d1d2,8.419,18,10,1402,2020,18,12,16,12,14.779,1119,1113,0,6,951,6,0,10
io2_l1n1n1_l3p1n1,8.979,16,18,4573,4030,138,37,15,37,30.19,4155,4155,0,0,4169,6,4,18
io2_l1n1n1_l3p1n1_d1d2,8.979,16,18,4571,4563,139,42,16,42,29.231,4357,4357,0,0,4173,6,4,18
io2_l1n1n1_l3p2n1,8.835,16,20,5322,4651,266,69,16,69,29.353,3673,3673,0,0,4900,6,4,20
io2_l1n1n1_l3p2n1_d1d2,8.944,16,38,7359,6067,267,42,24,42,43.067,6279,6279,0,0,6549,6,4,38
io2_l1n1n2_l3n1n1,8.419,14,8,986,1429,16,7,13,7,13.647,714,714,0,0,743,4,6,8
io2_l1n1n2_l3n1n1_d1d2,8.419,14,8,991,1626,17,12,14,12,14.197,795,795,0,0,775,4,6,8
io2_l1n1n2_l3n1n2,8.419,14,10,1180,1579,18,7,14,7,15.413,924,924,0,0,840,4,6,10
io2_l1n1n2_l3n1n2_d1d2,8.419,14,10,1248,1796,19,7,15,7,15.254,1022,1022,0,0,967,4,6,10
io2_l1n1n2_l3n1p1,8.419,16,8,1021,1560,17,7,14,7,15.228,894,894,0,0,762,4,4,8
io2_l1n1n2_l3n1p1_d1d2,8.419,16,8,1013,1765,18,12,15,12,14.74,929,929,0,0,756,4,4,8
io2_l1n1n2_l3n1p2,8.419,18,10,1444,1797,19,7,15,7,15.466,1001,995,0,6,863,6,0,10
io2_l1n1n2_l3n1p2_d1d2,8.419,18,10,1493,2013,20,7,16,7,16.487,1152,1146,0,6,977,6,0,10
io2_l1n1n2_l3p1n1,8.813,16,18,4569,3999,140,37,15,37,31.517,4141,4141,0,0,4128,6,4,18
io2_l1n1n2_l3p1n1_d1d2,8.813,16,18,4630,4534,141,37,16,37,32.01,4419,4419,0,0,4203,6,4,18
io2_l1n1n2_l3p2n1,8.933,16,20,5318,4609,268,69,16,69,31.038,3670,3670,0,0,4870,6,4,20
io2_l1n1n2_l3p2n1_d1d2,8.955,16,38,7418,6033,269,37,24,37,46.45,6299,6299,0,0,6550,6,4,38
io2_l1n1p1_l3n1n1,8.419,14,5,767,1404,15,7,13,7,12.23,727,727,0,0,662,4,6,5
io2_l1n1p1_l3n1n1_d1d2,8.419,14,5,773,1611,16,17,14,17,12.593,770,770,0,0,689,4,6,5
io2_l1n1p1_l3n1n2,8.419,14,10,1185,1689,17,7,15,7,16.575,1010,1010,0,0,1004,4,6,10
io2_l1n1p1_l3n1n2_d1d2,8.419,14,10,1190,1886,18,12,16,12,16.568,1059,1059,0,0,978,4,6,10
io2_l1n1p1_l3n1p1,8.419,16,5,802,1535,16,7,14,7,13.381,867,867,0,0,675,4,4,5
io2_l1n1p1_l3n1p1_d1d2,8.419,16,5,795,1750,17,17,15,17,13.105,896,896,0,0,669,4,4,5
io2_l1n1p1_l3n1p2,8.419,18,10,1449,1907,18,7,16,7,17.404,1105,1099,0,6,998,6,0,10
io2_l1n1p1_l3n1p2_d1d2,8.419,18,10,1435,2103,19,12,17,12,17.381,1163,1157,0,6,986,6,0,10
io2_l1n1p1_l3p1n1,8.979,16,18,4599,4113,139,37,16,37,33.146,4237,4237,0,0,4199,6,4,18
io2_l1n1p1_l3p1n1_d1d2,8.979,16,18,4597,4646,140,42,17,42,33.617,4430,4430,0,0,4188,6,4,18
io2_l1n1p1_l3p2n1,8.835,16,20,5348,4734,267,69,17,69,33.211,3676,3676,0,0,4905,6,4,20
io2_l1n1p1_l3p2n1_d1d2,8.944,16,38,7385,6150,268,42,25,42,46.247,6551,6551,0,0,6575,6,4,38
io2_l1n1p2_l3n1n1,8.419,14,5,889,1388,17,7,13,7,12.77,759,759,0,0,718,4,6,5
io2_l1n1p2_l3n1n1_d1d2,8.419,14,5,895,1585,18,12,14,12,12.31,837,837,0,0,712,4,6,5
io2_l1n1p2_l3n1n2,8.419,14,10,1243,1667,19,7,15,7,16.391,1077,1077,0,0,911,4,6,10
io2_l1n1p2_l3n1n2_d1d2,8.419,14,10,1312,1860,20,7,16,7,16.899,1146,1146,0,0,1048,4,6,10
io2_l1n1p2_l3n1p1,8.419,16,5,924,1519,18,7,14,7,13.613,871,871,0,0,734,4,4,5
io2_l1n1p2_l3n1p1_d1d2,8.419,16,5,917,1724,19,12,15,12,13.846,901,901,0,0,728,4,4,5
io2_l1n1p2_l3n1p2,8.419,18,10,1507,1885,20,7,16,7,17.721,1150,1144,0,6,929,6,0,10
io2_l1n1p2_l3n1p2_d1d2,8.419,18,10,1557,2077,21,7,17,7,18.464,1243,1237,0,6,1045,6,0,10
io2_l1n1p2_l3p1n1,9.206,16,18,4600,4078,141,37,16,37,34.84,4376,4376,0,0,4151,6,4,18
io2_l1n1p2_l3p1n1_d1d2,9.206,16,18,4662,4607,142,37,17,37,35.043,4354,4354,0,0,4215,6,4,18
io2_l1n1p2_l3p2n1,9.229,16,20,5349,4691,269,69,17,69,33.75,3655,3655,0,0,4837,6,4,20
io2_l1n1p2_l3p2n1_d1d2,9.206,16,38,7450,6103,270,37,25,37,48.294,6463,6463,0,0,6526,6,4,38
io2_l1p1n1_l3n1n1,9.263,16,14,3994,4253,138,37,13,37,25.671,2255,2255,0,0,3718,4,4,14
io2_l1p1n1_l3n1n1_d1d2,9.286,16,14,3941,4736,139,42,14,42,25.065,2381,2381,0,0,3706,4,4,14
io2_l1p1n1_l3n1n2,9.263,16,16,4188,4401,140,37,14,37,29.073,2549,2549,0,0,3886,4,4,16
io2_l1p1n1_l3n1n2_d1d2,9.286,16,16,4198,4886,141,37,15,37,28.662,2620,2620,0,0,3877,4,4,16
io2_l1p1n1_l3n1p1,9.263,18,14,4022,4384,139,37,14,37,28.094,2444,2444,0,0,3741,8,0,14
io2_l1p1n1_l3n1p1_d1d2,9.286,18,14,3956,4875,140,42,15,42,27.762,2424,2424,0,0,3654,8,0,14
io2_l1p1n1_l3n1p2,9.263,20,16,4452,4619,141,37,15,37,31.569,2710,2704,0,6,3926,10,0,16
io2_l1p1n1_l3n1p2_d1d2,9.286,20,16,4443,5103,142,37,16,37,32.731,2724,2718,0,6,3888,10,0,16
io2_l1p1n1_l3p1n1,9.251,18,18,6809,6460,262,67,13,67,42.055,5770,5770,0,0,6713,8,2,18
io2_l1p1n1_l3p1n1_d1d2,9.263,18,18,7068,7249,263,67,14,67,40.852,5618,5618,0,0,6757,8,2,18
io2_l1p1n1_l3p2n1,9.275,18,20,7845,7096,390,99,14,99,40.284,5241,5241,0,0,7492,6,0,20
io2_l1p1n1_l3p2n1_d1d2,9.263,18,38,9856,8742,391,67,22,67,55.056,7651,7651,0,0,9042,8,2,38
io2_l1p2n1_l3n1n1,8.835,16,20,15502,8574,266,69,16,69,42.112,6788,5599,0,1189,12465,6,4,20
io2_l1p2n1_l3n1n1_d1d2,8.813,16,40,18514,10720,267,42,25,42,53.032,9253,7616,0,1637,14255,6,4,40
io2_l1p2n1_l3n1n2,8.835,16,20,15469,8515,268,69,16,69,48.647,6570,5381,0,1189,12475,6,4,20
io2_l1p2n1_l3n1n2_d1d2,8.813,16,40,18544,10663,269,37,25,37,60.07,9356,7719,0,1637,14285,6,4,40
io2_l1p2n1_l3n1p1,8.835,18,20,15530,8689,267,69,17,69,46.531,6752,5563,0,1189,12499,6,0,20
io2_l1p2n1_l3n1p1_d1d2,8.813,18,40,18529,10859,268,42,26,42,60.231,9102,7465,0,1637,14286,8,2,40
io2_l1p2n1_l3n1p2,8.835,20,20,15733,8717,269,69,17,69,75.953,7101,5906,0,1195,12488,10,0,20
io2_l1p2n1_l3n1p2_d1d2,8.813,20,40,18789,10880,270,37,26,37,89.901,9078,7451,0,1627,14433,10,0,40
io2_l1p2n1_l3p1n1,8.858,18,20,16967,10202,390,99,14,99,89.029,9383,8194,0,1189,14198,8,2,20
io2_l1p2n1_l3p1n1_d1d2,8.835,18,40,20259,12707,391,67,23,67,104.356,11881,10244,0,1637,16011,8,2,40
io2_l1p2n1_l3p2n1,8.905,18,20,17649,10577,518,131,14,131,91.236,8537,7316,0,1221,14878,8,2,20
io2_l1p2n1_l3p2n1_d1d2,8.835,18,40,19611,12663,519,67,23,67,109.242,12401,10764,0,1637,15325,8,2,40
io4_l1n1n1_l3n1n1,8.419,8,5,1715,1576,14,7,12,7,12.456,959,767,192,0,1237,4,0,5
io4_l1n1n1_l3n1n1_d1d2,8.419,16,5,1715,1841,15,7,13,7,16.79,1217,1025,192,0,1387,0,16,5
io4_l1n1n1_l3n1n2,8.419,8,5,1772,1716,16,10,12,10,12.39,1061,869,192,0,1271,4,0,5
io4_l1n1n1_l3n1n2_d1d2,8.419,16,5,1764,2239,17,10,13,10,16.439,1304,1112,192,0,1395,0,16,5
io4_l1n1n1_l3n1n4,8.419,8,20,2968,2589,20,7,18,7,22.347,1921,1729,192,0,2125,4,0,20
io4_l1n1n1_l3n1n4_d1d2,8.419,16,20,2970,2922,21,7,19,7,27.213,2171,1979,192,0,2200,0,16,20
io4_l1n1n1_l3n1p1,8.419,8,5,1607,1648,15,7,13,7,13.777,1122,930,192,0,1130,4,0,5
io4_l1n1n1_l3n1p1_d1d2,8.419,16,5,1602,1913,16,7,14,7,18.47,1360,1168,192,0,1274,0,16,5
