prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1,7.966,12,5,653,1001,14,7,12,7,12.262,528,528,0,0,453,4,4,5
io1_l1n1n1_l3n1p1,7.966,12,5,680,1078,15,7,13,7,13.041,663,663,0,0,485,4,4,5
io1_l1n1n1_l3p1n1,8.59,13,10,8900,5237,138,69,12,69,32.297,4254,3658,0,596,7342,5,3,10
io1_l1n1p1_l3n1n1,7.966,13,5,781,1103,15,7,13,7,16.187,572,567,0,5,473,5,3,5
io1_l1n1p1_l3n1p1,7.966,13,5,808,1164,16,7,14,7,19.183,697,692,0,5,505,5,3,5
io1_l1n1p1_l3p1n1,8.59,14,10,9028,5339,139,69,13,69,60.94,4291,3690,0,601,7369,6,2,10
io1_l1p1n1_l3n1n1,8.59,13,10,3347,3348,138,69,12,69,26.292,2245,2245,0,0,3154,5,3,10
io1_l1p1n1_l3n1p1,8.59,13,10,3374,3425,139,69,13,69,31.452,2362,2362,0,0,3230,5,3,10
io1_l1p1n1_l3p1n1,7.984,14,10,10631,7131,262,131,10,131,66.602,5553,4957,0,596,9077,6,2,10
io2_l1n1n1_l3n1n1,8.423,16,5,781,1385,14,7,12,7,14.338,689,689,0,0,656,4,8,5
io2_l1n1n1_l3n1n1_d1d2,8.423,16,5,786,1592,15,17,13,17,14.626,797,797,0,0,789,4,8,5
io2_l1n1n1_l3n1n2,8.423,16,8,1033,1495,16,7,13,7,18.449,774,774,0,0,779,4,8,8
io2_l1n1n1_l3n1n2_d1d2,8.423,16,8,1037,1692,17,12,14,12,17.617,835,835,0,0,845,4,8,8
io2_l1n1n1_l3n1p1,8.423,16,5,814,1468,15,7,13,7,15.455,821,821,0,0,692,4,8,5
io2_l1n1n1_l3n1p1_d1d2,8.423,16,5,812,1675,16,17,14,17,15.792,859,859,0,0,753,4,8,5
