prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1,8.419,12,5,653,995,14,7,12,7,8.955,524,524,0,0,453,4,4,5
io1_l1n1n1_l3n1p1,8.419,12,5,680,1072,15,7,13,7,9.9,650,650,0,0,485,4,4,5
io1_l1n1n1_l3p1n1,8.835,13,10,8900,5225,138,69,12,69,27.823,4229,3631,0,598,7385,5,3,10
io1_l1n1p1_l3n1n1,8.419,13,5,781,1097,15,7,13,7,11.534,570,563,0,7,473,5,3,5
io1_l1n1p1_l3n1p1,8.419,13,5,808,1158,16,7,14,7,14.167,686,679,0,7,505,5,3,5
io1_l1n1p1_l3p1n1,8.835,14,10,9028,5327,139,69,13,69,45.732,4283,3678,0,605,7392,6,2,10
io1_l1p1n1_l3n1n1,8.835,13,10,3347,3336,138,69,12,69,21.953,2278,2278,0,0,3099,5,3,10
io1_l1p1n1_l3n1p1,8.835,13,10,3374,3413,139,69,13,69,24.978,2405,2405,0,0,3164,5,3,10
io1_l1p1n1_l3p1n1,8.905,14,10,10631,7119,262,131,10,131,52.093,5600,5002,0,598,9220,6,2,10
io2_l1n1n1_l3n1n1,8.419,16,5,781,1379,14,7,12,7,10.895,646,646,0,0,662,4,8,5
io2_l1n1n1_l3n1n1_d1d2,8.419,16,5,786,1586,15,17,13,17,11.69,767,767,0,0,795,4,8,5
io2_l1n1n1_l3n1n2,8.419,16,8,1033,1487,16,7,13,7,13.966,753,753,0,0,782,4,8,8
io2_l1n1n1_l3n1n2_d1d2,8.419,16,8,1037,1684,17,12,14,12,14.246,822,822,0,0,850,4,8,8
io2_l1n1n1_l3n1p1,8.419,16,5,814,1462,15,7,13,7,12.498,785,785,0,0,702,4,8,5
io2_l1n1n1_l3n1p1_d1d2,8.419,16,5,812,1669,16,17,14,17,12.989,826,826,0,0,766,4,8,5
io2_l1n1n1_l3n1p2,8.419,16,5,936,1446,17,7,13,7,12.521,783,783,0,0,754,4,8,5
io2_l1n1n1_l3n1p2_d1d2,8.419,16,5,941,1643,18,12,14,12,13.172,860,860,0,0,829,4,8,5
io2_l1n1n1_l3p1n1,9.263,18,14,4041,4307,138,37,13,37,24.57,2357,2357,0,0,3762,4,6,14
io2_l1n1n1_l3p1n1_d1d2,9.286,18,14,3987,4786,139,42,14,42,24.984,2445,2445,0,0,3744,4,6,14
io2_l1n1n1_l3p2n1,8.835,18,20,15517,8632,266,69,16,69,41.681,7303,6114,0,1189,12460,6,6,20
io2_l1n1n1_l3p2n1_d1d2,8.813,18,40,18528,10778,267,42,25,42,53.699,9165,7528,0,1637,14161,6,6,40
io2_l1n1n2_l3n1n1,8.419,16,10,1199,1664,16,7,14,7,15.429,958,958,0,0,1003,4,8,10
io2_l1n1n2_l3n1n1_d1d2,8.419,16,10,1203,1861,17,12,15,12,15.613,1038,1038,0,0,1052,4,8,10
io2_l1n1n2_l3n1n2,8.419,16,10,1227,1637,18,7,14,7,15.707,979,979,0,0,879,4,8,10
io2_l1n1n2_l3n1n2_d1d2,8.419,16,10,1294,1854,19,7,15,7,16.028,1065,1065,0,0,1011,4,8,10
io2_l1n1n2_l3n1p1,8.419,16,10,1232,1747,17,7,15,7,17.32,1055,1055,0,0,1021,4,8,10
io2_l1n1n2_l3n1p1_d1d2,8.419,16,10,1236,1944,18,12,16,12,16.809,1106,1106,0,0,1018,4,8,10
io2_l1n1n2_l3n1p2,8.419,16,10,1290,1725,19,7,15,7,16.35,1093,1093,0,0,949,4,8,10
io2_l1n1n2_l3n1p2_d1d2,8.419,16,10,1358,1918,20,7,16,7,17.249,1162,1162,0,0,1086,4,8,10
