prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l4n1n1,7.966,32,5,758,1245,22,9,19,9,5x32,1x32,17.931,650,650,0,0,586,16,0,5
io1_l2n1n1_l4n1p1,7.966,32,5,933,1362,23,9,20,9,5x32,1x32,17.973,664,655,0,9,529,16,0,5
io1_l2n1n1_l4p1n1,8.644,32,5,4578,3920,146,71,17,71,5x32,1x32,28.534,4116,4116,0,0,4202,16,0,5
io1_l2n1p1_l4n1n1,7.966,32,5,860,1420,24,12,21,12,5x32,1x32,25.341,801,801,0,0,697,16,0,5
io1_l2n1p1_l4n1p1,7.966,32,5,1035,1523,25,12,22,12,5x32,1x32,24.182,828,819,0,9,641,16,0,5
io1_l2n1p1_l4p1n1,8.644,32,5,4648,4078,148,74,19,74,5x32,1x32,34.911,4025,4025,0,0,4275,16,0,5
io1_l2p1n1_l4n1n1,7.966,32,16,8070,10681,230,134,42,134,5x32,1x32,128.622,3755,3155,0,600,5911,16,0,16
io1_l2p1n1_l4n1p1,8.59,32,16,8277,10816,231,134,43,134,5x32,1x32,126.471,3770,3161,0,609,5923,16,0,16
io1_l2p1n1_l4p1n1,8.016,32,16,11730,13342,354,196,40,196,5x32,1x32,140.818,6927,6327,0,600,10329,16,0,16
io2_l2n1n1_l4n1n1,8.423,32,5,776,1514,22,9,19,9,8x32,2x32,17.809,720,720,0,0,648,16,0,5
io2_l2n1n1_l4n1n1_d1d2,7.966,32,5,851,2162,23,26,20,26,8x32,2x32,19.09,951,951,0,0,875,16,0,5
io2_l2n1n1_l4n1n2,8.423,32,10,1175,1805,24,9,21,9,8x32,2x32,21.535,982,982,0,0,843,16,0,10
io2_l2n1n1_l4n1n2_d1d2,8.423,32,5,881,2116,25,21,20,21,8x32,2x32,19.492,972,972,0,0,771,16,0,5
io2_l2n1n1_l4n1p1,8.423,32,5,795,1559,23,9,20,9,8x32,2x32,17.554,732,732,0,0,660,16,0,5
io2_l2n1n1_l4n1p1_d1d2,7.966,32,5,870,2207,24,26,21,26,8x32,2x32,19.155,930,930,0,0,798,16,0,5
io2_l2n1n1_l4n1p2,8.423,32,10,1431,1956,25,9,22,9,8x32,2x32,22.476,1041,1034,0,7,815,16,0,10
io2_l2n1n1_l4n1p2_d1d2,8.423,32,10,1697,2666,26,21,23,21,8x32,2x32,23.964,1238,1231,0,7,1049,16,0,10
io2_l2n1n1_l4p1n1,9.047,32,10,5334,3948,146,39,19,39,8x32,2x32,29.86,3983,3983,0,0,4745,12,0,10
io2_l2n1n1_l4p1n1_d1d2,8.48,32,18,5306,6191,147,51,23,51,8x32,2x32,37.339,4561,4561,0,0,4281,12,0,18
io2_l2n1n1_l4p2n1,9.101,32,10,8755,6057,274,71,19,71,8x32,2x32,37.843,6616,6616,0,0,7925,16,0,10
io2_l2n1n1_l4p2n1_d1d2,8.518,32,20,10251,6452,275,51,24,51,8x32,2x32,41.166,6044,6044,0,0,9245,12,0,20
io2_l2n1n2_l4n1n1,8.423,32,8,1027,1723,25,10,20,10,8x32,2x32,21.95,879,879,0,0,762,16,0,8
io2_l2n1n2_l4n1n1_d1d2,7.966,32,8,1101,2288,26,19,21,19,8x32,2x32,22.692,1036,1036,0,0,1004,16,0,8
io2_l2n1n2_l4n1n2,8.423,32,10,1266,1889,27,10,21,10,8x32,2x32,23.352,1046,1046,0,0,895,16,0,10
io2_l2n1n2_l4n1n2_d1d2,8.423,32,8,1131,2242,28,14,21,14,8x32,2x32,21.823,1046,1046,0,0,927,16,0,8
io2_l2n1n2_l4n1p1,8.423,32,8,1046,1768,26,10,21,10,8x32,2x32,21.781,866,866,0,0,776,16,0,8
io2_l2n1n2_l4n1p1_d1d2,7.966,32,8,1120,2333,27,19,22,19,8x32,2x32,21.668,997,997,0,0,911,16,0,8
io2_l2n1n2_l4n1p2,8.423,32,10,1522,2040,28,10,22,10,8x32,2x32,23.614,1111,1104,0,7,867,16,0,10
io2_l2n1n2_l4n1p2_d1d2,8.423,32,10,1787,2667,29,14,23,14,8x32,2x32,23.912,1282,1275,0,7,1165,16,0,10
io2_l2n1n2_l4p1n1,9.634,32,10,5393,4008,149,40,19,40,8x32,2x32,33.345,4152,4152,0,0,4767,16,0,10
io2_l2n1n2_l4p1n1_d1d2,8.48,32,18,5364,6170,150,44,23,44,8x32,2x32,38.752,4522,4522,0,0,4369,12,0,18
io2_l2n1n2_l4p2n1,9.687,32,10,8814,6117,277,72,19,72,8x32,2x32,40.685,6744,6744,0,0,7951,16,0,10
io2_l2n1n2_l4p2n1_d1d2,8.518,32,20,10309,6429,278,44,24,44,8x32,2x32,43.289,6095,6095,0,0,9200,12,0,20
io2_l2n1p1_l4n1n1,8.423,32,5,896,1711,24,13,21,13,8x32,2x32,24.909,896,896,0,0,774,16,0,5
io2_l2n1p1_l4n1n1_d1d2,7.966,32,5,941,2390,25,38,22,38,8x32,2x32,26.159,1138,1138,0,0,977,16,0,5
io2_l2n1p1_l4n1n2,8.423,32,10,1295,2002,26,13,23,13,8x32,2x32,29.074,1165,1165,0,0,969,16,0,10
