prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l4n1n1,8.419,32,5,758,1239,22,9,19,9,5x32,1x32,13.326,645,645,0,0,586,16,0,5
io1_l2n1n1_l4n1p1,8.419,32,5,933,1356,23,9,20,9,5x32,1x32,13.207,656,647,0,9,529,16,0,5
io1_l2n1n1_l4p1n1,9.298,32,5,4578,3914,146,71,17,71,5x32,1x32,24.084,4131,4131,0,0,4202,16,0,5
io1_l2n1p1_l4n1n1,8.419,32,5,845,1416,24,12,21,12,5x32,1x32,16.977,813,813,0,0,682,16,0,5
io1_l2n1p1_l4n1p1,8.419,32,5,1020,1519,25,12,22,12,5x32,1x32,17.611,833,824,0,9,626,16,0,5
io1_l2n1p1_l4p1n1,9.298,32,5,4633,4074,148,74,19,74,5x32,1x32,28.438,3994,3994,0,0,4252,16,0,5
io1_l2p1n1_l4n1n1,8.835,32,16,8070,10665,230,134,42,134,5x32,1x32,80.987,3752,3152,0,600,5907,16,0,16
io1_l2p1n1_l4n1p1,8.835,32,16,8277,10800,231,134,43,134,5x32,1x32,90.148,3771,3162,0,609,5944,16,0,16
io1_l2p1n1_l4p1n1,8.999,32,16,11730,13326,354,196,40,196,5x32,1x32,99.278,6887,6287,0,600,9968,16,0,16
io2_l2n1n1_l4n1n1,8.419,32,5,776,1508,22,9,19,9,8x32,2x32,13.49,727,727,0,0,645,16,0,5
io2_l2n1n1_l4n1n1_d1d2,8.572,32,5,819,2156,23,26,20,26,8x32,2x32,13.746,971,971,0,0,650,16,0,5
io2_l2n1n1_l4n1n2,8.419,32,10,1175,1793,24,9,21,9,8x32,2x32,16.421,992,992,0,0,905,16,0,10
io2_l2n1n1_l4n1n2_d1d2,8.572,32,5,849,2110,25,21,20,21,8x32,2x32,13.755,932,932,0,0,677,16,0,5
io2_l2n1n1_l4n1p1,8.419,32,5,795,1553,23,9,20,9,8x32,2x32,13.575,731,731,0,0,657,16,0,5
io2_l2n1n1_l4n1p1_d1d2,8.572,32,5,838,2201,24,26,21,26,8x32,2x32,13.698,934,934,0,0,661,16,0,5
io2_l2n1n1_l4n1p2,8.419,32,10,1431,1944,25,9,22,9,8x32,2x32,17.619,1034,1025,0,9,877,16,0,10
io2_l2n1n1_l4n1p2_d1d2,8.572,32,10,1665,2654,26,21,23,21,8x32,2x32,17.987,1233,1224,0,9,946,16,0,10
