prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1_l5n1,7.966,20,5,682,1137,18,8,13,8,5x32,1x32,14.23,628,628,0,0,475,8,4,5
io1_l1n1n1_l3n1p1_l5n1,7.966,20,5,739,1212,19,8,14,8,5x32,1x32,16.059,737,737,0,0,537,8,4,5
io1_l1n1n1_l3p1n1_l5n1,9.177,21,16,9311,5747,205,70,15,70,5x32,1x32,45.424,4863,4267,0,596,7624,9,3,16
io1_l1n1p1_l3n1n1_l5n1,7.966,20,5,739,1212,19,8,14,8,5x32,1x32,16.604,734,734,0,0,537,8,4,5
io1_l1n1p1_l3n1p1_l5n1,7.966,20,5,764,1275,20,8,15,8,5x32,1x32,19.058,800,800,0,0,567,8,4,5
io1_l1n1p1_l3p1n1_l5n1,9.177,21,16,9336,5807,206,70,16,70,5x32,1x32,54.121,4739,4143,0,596,7658,9,3,16
io1_l1p1n1_l3n1n1_l5p1,9.177,21,16,9435,5824,205,70,15,70,5x32,1x32,43.822,4645,4049,0,596,7696,9,3,16
io1_l1p1n1_l3n1p1_l5p1,9.177,21,16,9460,5893,206,70,16,70,5x32,1x32,56.612,4951,4355,0,596,7671,9,3,16
io1_l1p1n1_l3p1n1_l5p1,8.644,21,16,9965,7332,392,132,13,132,5x32,1x32,91.758,6971,5779,0,1192,9963,9,3,16
io2_l1n1n1_l3n1n1_l5n1,8.423,24,5,774,1587,18,8,13,8,7x32,1x32,16.103,768,768,0,0,613,8,8,5
io2_l1n1n1_l3n1n1_l5n1_d1d2,8.423,24,5,773,1812,19,18,14,18,7x32,1x32,15.495,867,867,0,0,679,8,8,5
io2_l1n1n1_l3n1n2_l5n1,8.423,24,8,1026,1718,21,8,14,8,7x32,1x32,20.212,888,888,0,0,736,8,8,8
io2_l1n1n1_l3n1n2_l5n1_d1d2,8.423,24,8,1024,1933,22,13,15,13,7x32,1x32,20.695,957,957,0,0,830,8,8,8
io2_l1n1n1_l3n1p1_l5n1,8.423,24,5,831,1668,19,8,14,8,7x32,1x32,16.852,894,894,0,0,674,8,8,5
io2_l1n1n1_l3n1p1_l5n1_d1d2,8.423,24,5,830,1893,20,18,15,18,7x32,1x32,17.677,958,958,0,0,671,8,8,5
io2_l1n1n1_l3n1p2_l5n1,8.423,24,5,921,1643,22,8,14,8,7x32,1x32,17.402,946,946,0,0,701,8,8,5
io2_l1n1n1_l3n1p2_l5n1_d1d2,8.423,24,5,920,1858,23,13,15,13,7x32,1x32,17.416,1025,1025,0,0,762,8,8,5
io2_l1n1n1_l3p1n1_l5n1,9.687,26,26,5564,5363,205,38,18,38,7x32,1x32,48.243,3846,3846,0,0,4845,8,6,26
io2_l1n1n1_l3p1n1_l5n1_d1d2,9.687,26,26,5408,5824,206,43,19,43,7x32,1x32,49.581,3682,3682,0,0,4671,8,6,26
io2_l1n1n1_l3p2n1_l5n1,9.634,26,32,16302,9579,397,70,21,70,7x32,1x32,68.779,8782,7594,0,1188,12912,8,6,32
io2_l1n1n1_l3p2n1_l5n1_d1d2,9.597,26,64,20235,12483,398,43,34,43,7x32,1x32,94.817,11578,9942,0,1636,15291,6,6,64
io2_l1n1n2_l3n1n1_l5n1,8.423,24,8,1026,1718,21,8,14,8,7x32,1x32,18.25,874,874,0,0,736,8,8,8
io2_l1n1n2_l3n1n1_l5n1_d1d2,8.423,24,8,1024,1933,22,13,15,13,7x32,1x32,19.748,966,966,0,0,830,8,8,8
io2_l1n1n2_l3n1n2_l5n1,9.066,24,8,1022,1676,24,8,14,8,7x32,1x32,19.187,865,865,0,0,603,8,8,8
io2_l1n1n2_l3n1n2_l5n1_d1d2,9.066,24,8,1019,1881,25,8,15,8,7x32,1x32,20.176,930,930,0,0,725,8,8,8
io2_l1n1n2_l3n1p1_l5n1,8.423,24,8,1083,1799,22,8,15,8,7x32,1x32,21.844,998,998,0,0,797,8,8,8
io2_l1n1n2_l3n1p1_l5n1_d1d2,8.423,24,8,1081,2014,23,13,16,13,7x32,1x32,23.083,1028,1028,0,0,855,8,8,8
io2_l1n1n2_l3n1p2_l5n1,9.066,24,8,1077,1762,25,8,15,8,7x32,1x32,20.196,997,997,0,0,664,8,8,8
io2_l1n1n2_l3n1p2_l5n1_d1d2,9.066,24,8,1075,1967,26,8,16,8,7x32,1x32,21.89,1057,1057,0,0,786,8,8,8
io2_l1n1n2_l3p1n1_l5n1,9.706,26,26,5560,5336,208,38,18,38,7x32,1x32,49.817,3808,3808,0,0,4773,8,6,26
io2_l1n1n2_l3p1n1_l5n1_d1d2,9.706,26,26,5403,5787,209,38,19,38,7x32,1x32,52.005,3730,3730,0,0,4668,8,6,26
io2_l1n1n2_l3p2n1_l5n1,9.653,26,32,16298,9552,400,70,21,70,7x32,1x32,73.047,8988,7800,0,1188,12873,10,6,32
io2_l1n1n2_l3p2n1_l5n1_d1d2,9.615,26,64,20230,12462,401,38,34,38,7x32,1x32,102.12,11777,10141,0,1636,15221,6,6,64
io2_l1n1p1_l3n1n1_l5n1,8.423,24,5,831,1668,19,8,14,8,7x32,1x32,18.81,885,885,0,0,674,8,8,5
io2_l1n1p1_l3n1n1_l5n1_d1d2,8.423,24,5,830,1893,20,18,15,18,7x32,1x32,18.548,952,952,0,0,671,8,8,5
io2_l1n1p1_l3n1n2_l5n1,8.423,24,8,1083,1799,22,8,15,8,7x32,1x32,22.06,979,979,0,0,797,8,8,8
io2_l1n1p1_l3n1n2_l5n1_d1d2,8.423,24,8,1081,2014,23,13,16,13,7x32,1x32,22.657,1019,1019,0,0,855,8,8,8
io2_l1n1p1_l3n1p1_l5n1,8.423,24,5,856,1737,20,8,15,8,7x32,1x32,21.633,942,942,0,0,703,8,8,5
io2_l1n1p1_l3n1p1_l5n1_d1d2,8.423,24,5,855,1962,21,18,16,18,7x32,1x32,21.949,977,977,0,0,697,8,8,5
io2_l1n1p1_l3n1p2_l5n1,8.423,24,5,946,1718,23,8,15,8,7x32,1x32,21.23,1032,1032,0,0,730,8,8,5
io2_l1n1p1_l3n1p2_l5n1_d1d2,8.423,24,5,945,1933,24,13,16,13,7x32,1x32,21.646,1074,1074,0,0,788,8,8,5
io2_l1n1p1_l3p1n1_l5n1,9.687,26,26,5589,5438,206,38,19,38,7x32,1x32,53.17,3900,3900,0,0,4871,8,6,26
io2_l1n1p1_l3p1n1_l5n1_d1d2,9.687,26,26,5433,5899,207,43,20,43,7x32,1x32,55.067,3765,3765,0,0,4703,8,6,26
io2_l1n1p1_l3p2n1_l5n1,9.634,26,32,16327,9654,398,70,22,70,7x32,1x32,78.609,8583,7395,0,1188,12940,10,6,32
io2_l1n1p1_l3p2n1_l5n1_d1d2,9.597,26,64,20260,12562,399,43,35,43,7x32,1x32,107.833,11950,10314,0,1636,15322,6,6,64
io2_l1n1p2_l3n1n1_l5n1,8.423,24,5,921,1643,22,8,14,8,7x32,1x32,17.689,921,921,0,0,701,8,8,5
io2_l1n1p2_l3n1n1_l5n1_d1d2,8.423,24,5,920,1858,23,13,15,13,7x32,1x32,19.358,1000,1000,0,0,762,8,8,5
