prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1_l5n1,8.419,20,5,682,1131,18,8,13,8,5x32,1x32,11.273,596,596,0,0,475,8,4,5
io1_l1n1n1_l3n1p1_l5n1,8.419,20,5,739,1206,19,8,14,8,5x32,1x32,13.298,709,709,0,0,537,8,4,5
io1_l1n1n1_l3p1n1_l5n1,9.229,21,16,9311,5731,205,70,15,70,5x32,1x32,36.368,4842,4244,0,598,7625,9,3,16
io1_l1n1p1_l3n1n1_l5n1,8.419,20,5,739,1206,19,8,14,8,5x32,1x32,12.842,691,691,0,0,537,8,4,5
io1_l1n1p1_l3n1p1_l5n1,8.419,20,5,764,1269,20,8,15,8,5x32,1x32,14.422,751,751,0,0,567,8,4,5
io1_l1n1p1_l3p1n1_l5n1,9.229,21,16,9336,5791,206,70,16,70,5x32,1x32,42.31,4793,4195,0,598,7654,9,3,16
io1_l1p1n1_l3n1n1_l5p1,9.229,21,16,9435,5808,205,70,15,70,5x32,1x32,36.524,4629,4031,0,598,7667,9,3,16
io1_l1p1n1_l3n1p1_l5p1,9.229,21,16,9460,5877,206,70,16,70,5x32,1x32,46.446,4894,4296,0,598,7672,9,3,16
io1_l1p1n1_l3p1n1_l5p1,8.905,21,16,9965,7316,392,132,13,132,5x32,1x32,71.748,6786,5590,0,1196,9913,9,3,16
io2_l1n1n1_l3n1n1_l5n1,8.419,24,5,774,1581,18,8,13,8,7x32,1x32,13.144,766,766,0,0,613,8,8,5
io2_l1n1n1_l3n1n1_l5n1_d1d2,8.419,24,5,773,1806,19,18,14,18,7x32,1x32,12.955,862,862,0,0,609,8,8,5
io2_l1n1n1_l3n1n2_l5n1,8.419,24,8,1026,1710,21,8,14,8,7x32,1x32,15.884,873,873,0,0,736,8,8,8
io2_l1n1n1_l3n1n2_l5n1_d1d2,8.419,24,8,1024,1925,22,13,15,13,7x32,1x32,16.081,945,945,0,0,795,8,8,8
io2_l1n1n1_l3n1p1_l5n1,8.419,24,5,831,1662,19,8,14,8,7x32,1x32,15.359,870,870,0,0,674,8,8,5
io2_l1n1n1_l3n1p1_l5n1_d1d2,8.419,24,5,823,1887,20,18,15,18,7x32,1x32,14.986,942,942,0,0,663,8,8,5
io2_l1n1n1_l3n1p2_l5n1,8.858,24,5,921,1637,22,8,14,8,7x32,1x32,14.688,890,890,0,0,706,8,8,5
io2_l1n1n1_l3n1p2_l5n1_d1d2,8.858,24,5,920,1852,23,13,15,13,7x32,1x32,14.494,969,969,0,0,764,8,8,5
io2_l1n1n1_l3p1n1_l5n1,9.274,26,26,5564,5343,205,38,18,38,7x32,1x32,38.348,3808,3808,0,0,4845,8,6,26
io2_l1n1n1_l3p1n1_l5n1_d1d2,9.263,26,26,5408,5804,206,43,19,43,7x32,1x32,38.332,3643,3643,0,0,4671,8,6,26
io2_l1n1n1_l3p2n1_l5n1,9.229,26,32,16302,9547,397,70,21,70,7x32,1x32,52.046,8686,7497,0,1189,12945,8,6,32
