prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l5n1n1_l7n1n1,7.966,56,5,870,1525,30,12,25,12,20.359,861,861,0,0,637,28,0,5
io1_l2n1n1_l5n1n1_l7n1p1,7.966,56,5,999,1637,31,12,26,12,21.163,899,890,0,9,676,28,0,5
io1_l2n1n1_l5n1n1_l7p1n1,9.177,56,10,2505,3827,154,74,25,74,28.607,2130,2130,0,0,1924,28,0,10
io1_l2n1p1_l5n1p1_l7n1n1,7.966,56,5,1058,1868,34,18,29,18,27.524,1198,1198,0,0,838,28,0,5
io1_l2n1p1_l5n1p1_l7n1p1,7.966,56,5,1187,1980,35,18,30,18,29.295,1228,1219,0,9,878,28,0,5
io1_l2n1p1_l5n1p1_l7p1n1,9.177,56,10,2661,4153,158,80,29,80,37.529,2448,2448,0,0,2093,28,0,10
io1_l2p1n1_l5p1n1_l7n1n1,8.644,56,16,14291,19652,383,262,67,262,146.997,6229,5029,0,1200,10485,28,0,16
io1_l2p1n1_l5p1n1_l7n1p1,8.644,56,16,14420,19764,384,262,68,262,150.4,6168,4959,0,1209,10573,28,0,16
io1_l2p1n1_l5p1n1_l7p1n1,8.016,56,16,15315,21566,507,324,65,324,152.246,7127,5927,0,1200,11327,28,0,16
io2_l2n1n1_l5n1n1_l7n1n1,8.423,56,5,929,1953,30,12,25,12,20.496,1004,1004,0,0,791,28,0,5
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,7.966,56,5,1074,2934,31,41,26,41,21.736,1312,1312,0,0,1093,28,0,5
io2_l2n1n1_l5n1n1_l7n1n2,8.423,56,10,1306,2244,32,12,27,12,24.861,1241,1241,0,0,987,28,0,10
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,8.423,56,5,1069,2900,33,36,26,36,22.028,1377,1377,0,0,1049,28,0,5
io2_l2n1n1_l5n1n1_l7n1p1,8.423,56,5,1231,2161,31,12,26,12,21.193,1018,1011,0,7,809,28,0,5
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,8.423,56,5,1653,3270,32,41,27,41,22.005,1335,1327,0,8,1045,28,0,5
io2_l2n1n1_l5n1n1_l7n1p2,8.423,56,10,1434,2355,33,12,28,12,25.416,1309,1302,0,7,1023,28,0,10
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,8.423,56,10,1905,3486,34,36,29,36,26.142,1668,1662,0,6,1407,28,0,10
io2_l2n1n1_l5n1n1_l7p1n1,9.597,56,20,4145,4727,154,42,29,42,38.425,3261,3261,0,0,3518,28,0,20
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,8.499,56,20,4672,6747,155,66,30,66,40.135,3647,3647,0,0,3732,28,0,20
io2_l2n1n1_l5n1n1_l7p2n1,9.634,56,20,4076,5882,282,74,29,74,38.395,3294,3294,0,0,3360,28,0,20
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,8.499,56,40,7691,8388,283,66,38,66,58.507,5881,5881,0,0,6712,28,0,40
io2_l2n1n2_l5n1n2_l7n1n1,9.066,56,8,1246,2195,35,14,26,14,24.277,1209,1209,0,0,967,28,0,8
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,7.966,56,8,1383,3010,36,27,27,27,25.365,1395,1395,0,0,1248,28,0,8
io2_l2n1n2_l5n1n2_l7n1n2,9.066,56,10,1463,2361,37,14,27,14,26.572,1386,1386,0,0,1099,28,0,10
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,9.085,56,8,1378,2976,38,22,27,22,26.978,1440,1440,0,0,1198,28,0,8
io2_l2n1n2_l5n1n2_l7n1p1,9.066,56,8,1548,2403,36,14,27,14,24.172,1216,1208,0,8,985,28,0,8
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,9.066,56,8,1962,3346,37,27,28,27,25.128,1419,1411,0,8,1223,28,0,8
io2_l2n1n2_l5n1n2_l7n1p2,9.066,56,10,1591,2472,38,14,28,14,27.684,1436,1429,0,7,1135,28,0,10
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,9.066,56,10,2054,3437,39,22,29,22,27.321,1611,1604,0,7,1412,28,0,10
io2_l2n1n2_l5n1n2_l7p1n1,9.634,56,20,4302,4823,159,44,29,44,41.049,3391,3391,0,0,3630,28,0,20
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,8.499,56,20,4821,6676,160,52,30,52,41.049,3733,3733,0,0,3821,28,0,20
io2_l2n1n2_l5n1n2_l7p2n1,9.672,56,20,4233,5994,287,76,29,76,40.03,3467,3467,0,0,3473,28,0,20
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,8.499,56,40,7840,8318,288,52,38,52,58.289,5830,5830,0,0,6799,28,0,40
io2_l2n1p1_l5n1p1_l7n1n1,8.423,56,5,1152,2340,34,20,29,20,27.812,1341,1341,0,0,1017,28,0,5
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,7.966,56,5,1269,3398,35,65,30,65,28.211,1667,1667,0,0,1214,28,0,5
io2_l2n1p1_l5n1p1_l7n1n2,8.423,56,10,1529,2631,36,20,31,20,32.202,1637,1637,0,0,1213,28,0,10
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,8.423,56,5,1264,3364,37,60,30,60,28.596,1650,1650,0,0,1195,28,0,5
io2_l2n1p1_l5n1p1_l7n1p1,8.423,56,5,1454,2548,35,20,30,20,28.379,1381,1373,0,8,1035,28,0,5
