prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l5n1n1_l7n1n1,8.419,56,5,870,1519,30,12,25,12,16.417,844,844,0,0,635,28,0,5
io1_l2n1n1_l5n1n1_l7n1p1,8.419,56,5,999,1631,31,12,26,12,16.736,868,859,0,9,674,28,0,5
io1_l2n1n1_l5n1n1_l7p1n1,9.24,56,10,2505,3815,154,74,25,74,24.891,2038,2038,0,0,1925,28,0,10
io1_l2n1p1_l5n1p1_l7n1n1,8.419,56,5,1028,1866,34,18,29,18,21.049,1183,1183,0,0,807,28,0,5
io1_l2n1p1_l5n1p1_l7n1p1,8.419,56,5,1157,1978,35,18,30,18,21.52,1226,1217,0,9,846,28,0,5
io1_l2n1p1_l5n1p1_l7p1n1,9.24,56,10,2631,4145,158,80,29,80,29.868,2377,2377,0,0,2060,28,0,10
io1_l2p1n1_l5p1n1_l7n1n1,8.905,56,16,14291,19636,383,262,67,262,108.181,6164,4964,0,1200,10396,28,0,16
io1_l2p1n1_l5p1n1_l7n1p1,8.905,56,16,14420,19748,384,262,68,262,109.82,6201,4992,0,1209,10447,28,0,16
io1_l2p1n1_l5p1n1_l7p1n1,8.999,56,16,15315,21550,507,324,65,324,110.759,7076,5876,0,1200,11343,28,0,16
io2_l2n1n1_l5n1n1_l7n1n1,8.419,56,5,929,1947,30,12,25,12,17.69,959,959,0,0,791,28,0,5
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,8.572,56,5,978,2928,31,41,26,41,17.863,1272,1272,0,0,784,28,0,5
io2_l2n1n1_l5n1n1_l7n1n2,8.419,56,10,1306,2232,32,12,27,12,20.291,1209,1209,0,0,987,28,0,10
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,8.847,56,5,1005,2894,33,36,26,36,18.217,1283,1283,0,0,904,28,0,5
io2_l2n1n1_l5n1n1_l7n1p1,8.419,56,5,1231,2155,31,12,26,12,17.6,980,971,0,9,809,28,0,5
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,8.572,56,5,1683,3328,32,41,27,41,17.546,1286,1276,0,10,828,28,0,5
io2_l2n1n1_l5n1n1_l7n1p2,8.419,56,10,1434,2343,33,12,28,12,20.806,1285,1276,0,9,1023,28,0,10
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,8.572,56,10,1841,3474,34,36,29,36,20.981,1562,1553,0,9,1104,28,0,10
io2_l2n1n1_l5n1n1_l7p1n1,9.218,56,20,4145,4703,154,42,29,42,33.99,3169,3169,0,0,3512,28,0,20
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,9.359,56,20,4608,6723,155,66,30,66,33.218,3490,3490,0,0,3511,28,0,20
io2_l2n1n1_l5n1n1_l7p2n1,9.24,56,20,4076,5858,282,74,29,74,32.973,3203,3203,0,0,3362,28,0,20
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,9.359,56,40,7627,8340,283,66,38,66,47.678,5649,5649,0,0,6482,28,0,40
io2_l2n1n2_l5n1n2_l7n1n1,8.55,56,8,1246,2187,35,14,26,14,21.302,1123,1123,0,0,971,28,0,8
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,8.999,56,8,1287,3002,36,27,27,27,21.174,1235,1235,0,0,1038,28,0,8
io2_l2n1n2_l5n1n2_l7n1n2,8.55,56,10,1463,2349,37,14,27,14,22.933,1319,1319,0,0,1103,28,0,10
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,9.011,56,8,1314,2968,38,22,27,22,21.043,1290,1290,0,0,1083,28,0,8
io2_l2n1n2_l5n1n2_l7n1p1,8.55,56,8,1548,2395,36,14,27,14,22.265,1144,1135,0,9,994,28,0,8
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,8.999,56,8,1992,3402,37,27,28,27,20.722,1268,1258,0,10,1094,28,0,8
io2_l2n1n2_l5n1n2_l7n1p2,8.55,56,10,1591,2460,38,14,28,14,23.346,1362,1353,0,9,1141,28,0,10
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,8.999,56,10,1990,3425,39,22,29,22,22.236,1533,1524,0,9,1313,28,0,10
io2_l2n1n2_l5n1n2_l7p1n1,9.218,56,20,4302,4799,159,44,29,44,37.054,3255,3255,0,0,3626,28,0,20
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,9.382,56,20,4757,6652,160,52,30,52,35.736,4019,4019,0,0,3701,28,0,20
io2_l2n1n2_l5n1n2_l7p2n1,9.24,56,20,4233,5970,287,76,29,76,35.628,3344,3344,0,0,3483,28,0,20
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,9.382,56,40,7776,8270,288,52,38,52,49.255,5661,5661,0,0,6660,28,0,40
io2_l2n1p1_l5n1p1_l7n1n1,8.419,56,5,1078,2338,34,20,29,20,22.177,1300,1300,0,0,948,28,0,5
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,8.572,56,5,1207,3396,35,65,30,65,22.572,1640,1640,0,0,1075,28,0,5
io2_l2n1p1_l5n1p1_l7n1n2,8.419,56,10,1455,2623,36,20,31,20,25.631,1555,1555,0,0,1146,28,0,10
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,8.847,56,5,1234,3362,37,60,30,60,22.679,1598,1598,0,0,1134,28,0,5
io2_l2n1p1_l5n1p1_l7n1p1,8.419,56,5,1380,2546,35,20,30,20,22.676,1311,1302,0,9,969,28,0,5
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,8.572,56,5,1912,3796,36,65,31,65,21.88,1641,1631,0,10,1059,28,0,5
io2_l2n1p1_l5n1p1_l7n1p2,8.419,56,10,1583,2734,37,20,32,20,25.718,1618,1609,0,9,1183,28,0,10
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,8.419,56,10,2070,3942,38,60,33,60,25.182,1933,1924,0,9,1341,28,0,10
io2_l2n1p1_l5n1p1_l7p1n1,9.218,56,20,4262,5075,158,50,33,50,37.226,3492,3492,0,0,3634,28,0,20
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,9.218,56,20,4807,7183,159,90,34,90,39.183,3908,3908,0,0,3715,28,0,20
io2_l2n1p1_l5n1p1_l7p2n1,9.24,56,20,4193,6230,286,82,33,82,38.202,3614,3614,0,0,3487,28,0,20
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,9.218,56,40,7856,8800,287,90,42,90,52.239,6017,6017,0,0,6785,28,0,40
io2_l2n1p2_l5n1p2_l7n1n1,8.881,56,5,1236,2445,41,22,31,22,23.852,1373,1373,0,0,1041,28,0,5
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,8.999,56,5,1425,3304,40,49,30,49,22.209,1583,1583,0,0,1276,28,0,5
io2_l2n1p2_l5n1p2_l7n1n2,8.881,56,10,1613,2730,43,22,33,22,26.915,1577,1577,0,0,1233,28,0,10
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,8.562,56,5,1452,3267,42,44,30,44,23.435,1655,1655,0,0,1286,28,0,5
io2_l2n1p2_l5n1p2_l7n1p1,8.881,56,5,1538,2653,42,22,32,22,23.832,1362,1353,0,9,1062,28,0,5
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,8.999,56,5,2130,3704,41,49,31,49,22.409,1590,1580,0,10,1318,28,0,5
io2_l2n1p2_l5n1p2_l7n1p2,8.881,56,10,1741,2841,44,22,34,22,26.633,1664,1655,0,9,1276,28,0,10
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,8.881,56,10,2288,3850,43,44,33,44,25.071,1890,1881,0,9,1601,28,0,10
io2_l2n1p2_l5n1p2_l7p1n1,9.251,56,20,4420,5176,165,52,35,52,40.539,3547,3547,0,0,3737,28,0,20
io2_l2n1p2_l5n1p2_l7p1n1_d1d2,9.251,56,20,4995,7068,164,74,34,74,37.661,3839,3839,0,0,3903,28,0,20
io2_l2n1p2_l5n1p2_l7p2n1,9.274,56,20,4351,6331,293,84,35,84,38.883,3682,3682,0,0,3582,28,0,20
io2_l2n1p2_l5n1p2_l7p2n1_d1d2,9.251,56,40,8042,8687,292,74,42,74,53.045,6011,6011,0,0,6945,28,0,40
io2_l2p1n1_l5p1n1_l7n1n1,9.092,56,146,13467,19023,383,134,110,134,101.466,8083,8083,0,0,8600,28,0,146
io2_l2p1n1_l5p1n1_l7n1n1_d1d2,9.274,56,62,19475,26053,366,149,65,149,88.392,13838,13838,0,0,19117,28,0,62
io2_l2p1n1_l5p1n1_l7n1n2,9.52,56,91,10591,16688,385,134,92,134,76.137,6937,6937,0,0,7297,28,0,91
io2_l2p1n1_l5p1n1_l7n1n2_d1d2,9.639,56,125,22850,28742,368,144,86,144,110.493,15225,15225,0,0,20886,26,0,125
io2_l2p1n1_l5p1n1_l7n1p1,9.497,56,89,10575,16757,384,134,92,134,75.94,6764,6755,0,9,7099,28,0,89
io2_l2p1n1_l5p1n1_l7n1p1_d1d2,9.309,56,95,21934,27887,367,149,77,149,98.185,14300,14290,0,10,19277,28,0,95
io2_l2p1n1_l5p1n1_l7n1p2,9.218,56,133,12965,18684,386,134,107,134,94.872,8015,8006,0,9,8265,28,0,133
io2_l2p1n1_l5p1n1_l7n1p2_d1d2,9.285,56,103,22226,28138,369,144,80,144,98.849,14922,14913,0,9,18405,28,0,103
io2_l2p1n1_l5p1n1_l7p1n1,9.426,56,98,12096,18900,507,164,93,164,82.838,8543,8543,0,0,8702,24,0,98
io2_l2p1n1_l5p1n1_l7p1n1_d1d2,9.285,56,50,21883,28656,490,174,60,174,81.986,15494,15494,0,0,20852,26,0,50
