prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l5n1n1_l8n1n1,7.966,56,5,906,1592,32,13,28,13,4x32,1x32,21.464,849,849,0,0,671,28,0,5
io1_l2n1n1_l5n1n1_l8n1p1,7.966,56,5,992,1760,34,16,30,16,4x32,1x32,21.708,985,985,0,0,761,28,0,5
io1_l2n1n1_l5n1n1_l8p1n1,9.177,56,10,7754,10703,177,138,49,138,4x32,1x32,34.411,3778,3178,0,600,5660,28,0,10
io1_l2n1p1_l5n1p1_l8n1n1,7.966,56,5,1078,1928,36,19,32,19,4x32,1x32,27.406,1141,1141,0,0,852,28,0,5
io1_l2n1p1_l5n1p1_l8n1p1,7.966,56,5,1164,2096,38,22,34,22,4x32,1x32,28.261,1293,1293,0,0,945,28,0,5
io1_l2n1p1_l5n1p1_l8p1n1,9.177,56,10,7926,11035,181,144,53,144,4x32,1x32,41.017,3992,3392,0,600,5841,28,0,10
io1_l2p1n1_l5p1n1_l8n1n1,8.644,56,10,8871,17819,322,263,68,263,4x32,1x32,126.413,5655,4455,0,1200,8082,28,0,10
io1_l2p1n1_l5p1n1_l8n1p1,8.644,56,10,8957,17987,324,266,70,266,4x32,1x32,130.046,5889,4689,0,1200,8230,28,0,10
io1_l2p1n1_l5p1n1_l8p1n1,8.016,56,10,10052,24943,467,388,87,388,4x32,1x32,139.462,8031,6231,0,1800,10760,28,0,10
io2_l2n1n1_l5n1n1_l8n1n1,8.423,56,5,936,2044,32,13,28,13,8x32,2x32,20.576,999,999,0,0,795,28,0,5
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,7.966,56,5,1102,3101,33,49,29,49,8x32,2x32,22.31,1356,1356,0,0,1142,28,0,5
io2_l2n1n1_l5n1n1_l8n1n2,8.423,56,8,1194,2223,34,14,29,14,8x32,2x32,22.22,1119,1119,0,0,980,24,0,8
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,7.966,56,8,1353,3197,35,42,30,42,8x32,2x32,23.262,1448,1448,0,0,1237,28,0,8
io2_l2n1n1_l5n1n1_l8n1p1,8.423,56,5,1039,2234,34,17,30,17,8x32,2x32,21.853,1154,1154,0,0,900,28,0,5
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,7.966,56,5,1207,3337,35,61,31,61,8x32,2x32,23.039,1539,1539,0,0,1183,28,0,5
io2_l2n1n1_l5n1n1_l8n1p2,8.423,56,5,1165,2305,37,18,31,18,8x32,2x32,22.589,1263,1263,0,0,1027,24,0,5
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,7.966,56,5,1333,3301,37,53,31,53,8x32,2x32,24.053,1598,1598,0,0,1277,28,0,5
io2_l2n1n1_l5n1n1_l8p1n1,9.687,56,8,3103,7481,177,74,48,74,8x32,2x32,28.624,2378,2378,0,0,2660,24,0,8
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,9.694,56,14,9583,13910,169,103,42,103,8x32,2x32,39.582,7012,7012,0,0,9143,28,0,14
io2_l2n1n1_l5n1n1_l8p2n1,9.634,56,20,15116,11546,305,74,53,74,8x32,2x32,42.878,7164,5973,0,1191,11829,28,0,20
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,8.48,56,40,19632,18090,297,98,53,98,8x32,2x32,53.619,10784,9145,0,1639,15051,28,0,40
io2_l2n1n2_l5n1n2_l8n1n1,9.066,56,8,1260,2274,36,15,29,15,8x32,2x32,24.685,1167,1167,0,0,913,28,0,8
io2_l2n1n2_l5n1n2_l8n1n1_d1d2,7.966,56,8,1412,3165,37,35,30,35,8x32,2x32,26.294,1415,1415,0,0,1337,28,0,8
io2_l2n1n2_l5n1n2_l8n1n2,9.085,56,8,1326,2307,38,16,29,16,8x32,2x32,26.049,1198,1198,0,0,972,28,0,8
io2_l2n1n2_l5n1n2_l8n1n2_d1d2,7.966,56,8,1471,3115,39,28,30,28,8x32,2x32,25.438,1402,1402,0,0,1301,28,0,8
io2_l2n1n2_l5n1n2_l8n1p1,9.066,56,8,1363,2464,38,19,31,19,8x32,2x32,26.312,1355,1355,0,0,1016,28,0,8
io2_l2n1n2_l5n1n2_l8n1p1_d1d2,7.966,56,8,1517,3401,39,47,32,47,8x32,2x32,27.956,1594,1594,0,0,1420,28,0,8
io2_l2n1n2_l5n1n2_l8n1p2,9.085,56,8,1457,2520,41,20,32,20,8x32,2x32,26.981,1397,1397,0,0,1112,28,0,8
io2_l2n1n2_l5n1n2_l8n1p2_d1d2,7.966,56,8,1611,3350,41,39,32,39,8x32,2x32,26.852,1589,1589,0,0,1482,28,0,8
io2_l2n1n2_l5n1n2_l8p1n1,9.725,56,8,3235,7556,181,76,48,76,8x32,2x32,31.413,2346,2346,0,0,2651,28,0,8
io2_l2n1n2_l5n1n2_l8p1n1_d1d2,9.732,56,14,9701,13805,173,89,42,89,8x32,2x32,41.981,6698,6698,0,0,9226,28,0,14
io2_l2n1n2_l5n1n2_l8p2n1,9.672,56,20,15248,11624,309,76,53,76,8x32,2x32,46.358,7838,6647,0,1191,11856,24,0,20
io2_l2n1n2_l5n1n2_l8p2n1_d1d2,8.48,56,40,19750,17985,301,84,53,84,8x32,2x32,56.595,11059,9420,0,1639,15171,23,0,40
io2_l2n1p1_l5n1p1_l8n1n1,8.423,56,5,1142,2424,36,21,32,21,8x32,2x32,27.249,1333,1333,0,0,1002,28,0,5
io2_l2n1p1_l5n1p1_l8n1n1_d1d2,7.966,56,5,1312,3573,37,73,33,73,8x32,2x32,27.392,1738,1738,0,0,1418,28,0,5
io2_l2n1p1_l5n1p1_l8n1n2,8.423,56,8,1400,2603,38,22,33,22,8x32,2x32,29.808,1426,1426,0,0,1189,24,0,8
io2_l2n1p1_l5n1p1_l8n1n2_d1d2,7.966,56,8,1563,3669,39,66,34,66,8x32,2x32,28.509,1814,1814,0,0,1472,28,0,8
