prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1,7.966,12,5,652,997,14,7,12,7,11.822,494,494,0,0,447,4,4,5
io1_l1n1n1_l3n1p1,7.966,12,5,679,1074,15,7,13,7,12.301,610,610,0,0,480,4,4,5
io1_l1n1n1_l3p1n1,8.59,13,10,8993,4696,153,7,27,7,33.013,4313,3717,0,596,7399,5,3,10
io1_l1n1p1_l3n1n1,7.966,12,5,679,1074,15,7,13,7,12.995,569,569,0,0,479,4,4,5
io1_l1n1p1_l3n1p1,7.966,12,5,706,1151,16,7,14,7,15.61,694,694,0,0,516,4,4,5
io1_l1n1p1_l3p1n1,8.59,13,10,9020,4773,154,7,28,7,39.272,4348,3752,0,596,7445,5,3,10
io1_l1p1n1_l3n1n1,8.59,13,10,8899,5233,138,69,12,69,39.595,4237,3641,0,596,7432,5,3,10
io1_l1p1n1_l3n1p1,8.59,13,10,8926,5310,139,69,13,69,44.9,4395,3799,0,596,7392,5,3,10
io1_l1p1n1_l3p1n1,7.984,14,10,11477,6880,277,69,25,69,74.553,6941,5749,0,1192,11656,6,2,10
io2_l1n1n1_l3n1n1,8.423,16,5,786,1377,14,7,12,7,13.252,633,633,0,0,653,4,8,5
io2_l1n1n1_l3n1n1_d1d2,8.423,16,5,785,1584,15,17,13,17,14.048,741,741,0,0,782,4,8,5
io2_l1n1n1_l3n1n2,8.423,16,8,1044,1556,16,8,13,8,17.456,754,754,0,0,776,4,8,8
io2_l1n1n1_l3n1n2_d1d2,8.423,16,8,1036,1684,17,12,14,12,17.921,786,786,0,0,805,4,8,8
io2_l1n1n1_l3n1p1,8.423,16,5,820,1460,15,7,13,7,15.54,774,774,0,0,690,4,8,5
io2_l1n1n1_l3n1p1_d1d2,8.423,16,5,811,1667,16,17,14,17,15.864,833,833,0,0,713,4,8,5
io2_l1n1n1_l3n1p2,8.423,16,5,942,1533,18,8,14,8,15.59,820,820,0,0,749,4,8,5
io2_l1n1n1_l3n1p2_d1d2,8.423,16,5,940,1641,18,12,14,12,15.557,851,851,0,0,778,4,8,5
io2_l1n1n1_l3p1n1,9.101,18,8,4078,4333,159,6,32,6,25.856,2610,2610,0,0,3866,4,6,8
io2_l1n1n1_l3p1n1_d1d2,9.101,18,14,4414,4712,151,11,26,11,32.363,2827,2827,0,0,4149,4,6,14
io2_l1n1n1_l3p2n1,9.047,18,20,15613,8288,287,6,37,6,45.003,7192,6004,0,1188,12520,6,4,20
io2_l1n1n1_l3p2n1_d1d2,9.01,18,40,18577,10673,279,11,37,11,60.992,9265,7629,0,1636,14161,4,4,40
