prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l1n1n1_l3n1n1,8.419,12,5,652,991,14,7,12,7,5x32,2x32,9.189,498,498,0,0,447,4,4,5
io1_l1n1n1_l3n1p1,8.419,12,5,679,1068,15,7,13,7,5x32,2x32,10.193,618,618,0,0,480,4,4,5
io1_l1n1n1_l3p1n1,8.835,13,10,8993,4684,153,7,27,7,5x32,2x32,30.101,4329,3731,0,598,7455,5,3,10
io1_l1n1p1_l3n1n1,8.419,12,5,679,1068,15,7,13,7,5x32,2x32,10.339,579,579,0,0,479,4,4,5
io1_l1n1p1_l3n1p1,8.419,12,5,706,1145,16,7,14,7,5x32,2x32,11.598,705,705,0,0,516,4,4,5
io1_l1n1p1_l3p1n1,8.835,13,10,9020,4761,154,7,28,7,5x32,2x32,33.644,4475,3877,0,598,7551,5,3,10
io1_l1p1n1_l3n1n1,8.835,13,10,8899,5221,138,69,12,69,5x32,2x32,31.68,4246,3648,0,598,7370,5,3,10
io1_l1p1n1_l3n1p1,8.835,13,10,8926,5298,139,69,13,69,5x32,2x32,36.042,4366,3768,0,598,7390,5,3,10
io1_l1p1n1_l3p1n1,8.905,14,10,11477,6868,277,69,25,69,5x32,2x32,63.102,6927,5731,0,1196,11660,6,2,10
io2_l1n1n1_l3n1n1,8.419,16,5,786,1371,14,7,12,7,6x32,2x32,11.15,616,616,0,0,659,4,8,5
io2_l1n1n1_l3n1n1_d1d2,8.419,16,5,785,1578,15,17,13,17,6x32,2x32,11.868,719,719,0,0,782,4,8,5
io2_l1n1n1_l3n1n2,8.419,16,8,1044,1548,16,8,13,8,6x32,2x32,14.898,729,729,0,0,782,4,8,8
io2_l1n1n1_l3n1n2_d1d2,8.419,16,8,1036,1676,17,12,14,12,6x32,2x32,14.004,764,764,0,0,805,4,8,8
io2_l1n1n1_l3n1p1,8.419,16,5,820,1454,15,7,13,7,6x32,2x32,12.884,754,754,0,0,700,4,8,5
io2_l1n1n1_l3n1p1_d1d2,8.419,16,5,811,1661,16,17,14,17,6x32,2x32,12.657,819,819,0,0,714,4,8,5
io2_l1n1n1_l3n1p2,8.419,16,5,942,1527,18,8,14,8,6x32,2x32,13.108,799,799,0,0,759,4,8,5
io2_l1n1n1_l3n1p2_d1d2,8.419,16,5,940,1635,18,12,14,12,6x32,2x32,12.712,831,831,0,0,780,4,8,5
io2_l1n1n1_l3p1n1,9.309,18,8,4078,4325,159,6,32,6,6x32,2x32,22.746,2640,2640,0,0,3915,4,6,8
io2_l1n1n1_l3p1n1_d1d2,9.286,18,14,4414,4700,151,11,26,11,6x32,2x32,27.466,2829,2829,0,0,4173,4,6,14
io2_l1n1n1_l3p2n1,8.835,18,20,15613,8264,287,6,37,6,6x32,2x32,41.06,7182,5993,0,1189,12506,6,6,20
io2_l1n1n1_l3p2n1_d1d2,8.813,18,40,18577,10625,279,11,37,11,6x32,2x32,51.916,9255,7618,0,1637,14261,4,4,40
io2_l1n1n2_l3n1n1,8.419,16,8,1038,1479,16,7,13,7,6x32,2x32,13.875,699,699,0,0,779,4,8,8
io2_l1n1n2_l3n1n1_d1d2,8.419,16,8,1036,1676,17,12,14,12,6x32,2x32,14.631,783,783,0,0,806,4,8,8
io2_l1n1n2_l3n1n2,8.419,16,8,1104,1530,18,8,13,8,6x32,2x32,15.213,745,745,0,0,774,4,8,8
io2_l1n1n2_l3n1n2_d1d2,8.419,16,8,1095,1648,19,7,14,7,6x32,2x32,14.78,773,773,0,0,765,4,8,8
io2_l1n1n2_l3n1p1,8.419,16,8,1072,1562,17,7,14,7,6x32,2x32,15.366,826,826,0,0,820,4,8,8
io2_l1n1n2_l3n1p1_d1d2,8.419,16,8,1062,1759,18,12,15,12,6x32,2x32,15.794,873,873,0,0,802,4,8,8
io2_l1n1n2_l3n1p2,8.419,16,8,1162,1620,20,8,15,8,6x32,2x32,16.255,830,830,0,0,840,4,8,8
io2_l1n1n2_l3n1p2_d1d2,8.419,16,8,1159,1718,20,7,15,7,6x32,2x32,15.534,859,859,0,0,834,4,8,8
io2_l1n1n2_l3p1n1,9.309,18,8,4138,4289,161,6,32,6,6x32,2x32,22.659,2675,2675,0,0,3917,4,6,8
io2_l1n1n2_l3p1n1_d1d2,9.286,18,14,4473,4652,153,6,26,6,6x32,2x32,27.836,2819,2819,0,0,4093,4,6,14
io2_l1n1n2_l3p2n1,8.933,18,20,15609,8220,289,6,37,6,6x32,2x32,44.652,7610,6421,0,1189,12473,6,6,20
io2_l1n1n2_l3p2n1_d1d2,8.91,18,40,18636,10577,281,6,37,6,6x32,2x32,56.008,9805,8168,0,1637,14230,6,6,40
io2_l1n1p1_l3n1n1,8.419,16,5,819,1454,15,7,13,7,6x32,2x32,12.494,700,700,0,0,697,4,8,5
io2_l1n1p1_l3n1n1_d1d2,8.419,16,5,811,1661,16,17,14,17,6x32,2x32,12.989,787,787,0,0,756,4,8,5
io2_l1n1p1_l3n1n2,8.419,16,8,1077,1631,17,8,14,8,6x32,2x32,16.546,804,804,0,0,820,4,8,8
io2_l1n1p1_l3n1n2_d1d2,8.419,16,8,1062,1759,18,12,15,12,6x32,2x32,15.416,843,843,0,0,812,4,8,8
io2_l1n1p1_l3n1p1,8.419,16,5,853,1537,16,7,14,7,6x32,2x32,14.602,816,816,0,0,728,4,8,5
io2_l1n1p1_l3n1p1_d1d2,8.419,16,5,837,1744,17,17,15,17,6x32,2x32,14.269,843,843,0,0,708,4,8,5
io2_l1n1p1_l3n1p2,8.419,16,5,975,1610,19,8,15,8,6x32,2x32,15.398,850,850,0,0,788,4,8,5
io2_l1n1p1_l3n1p2_d1d2,8.419,16,5,966,1718,19,12,15,12,6x32,2x32,14.315,861,861,0,0,773,4,8,5
io2_l1n1p1_l3p1n1,9.309,18,8,4104,4408,160,6,33,6,6x32,2x32,24.274,2635,2635,0,0,3918,4,6,8
io2_l1n1p1_l3p1n1_d1d2,9.286,18,14,4440,4783,152,11,27,11,6x32,2x32,28.773,2884,2884,0,0,4138,4,6,14
io2_l1n1p1_l3p2n1,8.835,18,20,15639,8347,288,6,38,6,6x32,2x32,45.715,7402,6213,0,1189,12576,6,6,20
io2_l1n1p1_l3p2n1_d1d2,8.813,18,40,18603,10708,280,11,38,11,6x32,2x32,57.723,9284,7637,0,1647,14229,6,6,40
io2_l1n1p2_l3n1n1,8.419,16,5,941,1438,17,7,13,7,6x32,2x32,12.881,749,749,0,0,751,4,8,5
io2_l1n1p2_l3n1n1_d1d2,8.419,16,5,940,1635,18,12,14,12,6x32,2x32,13.451,831,831,0,0,821,4,8,5
io2_l1n1p2_l3n1n2,8.419,16,8,1167,1600,19,8,14,8,6x32,2x32,16.125,838,838,0,0,842,4,8,8
io2_l1n1p2_l3n1n2_d1d2,8.419,16,8,1159,1718,20,7,15,7,6x32,2x32,15.63,870,870,0,0,845,4,8,8
io2_l1n1p2_l3n1p1,8.419,16,5,975,1521,18,7,14,7,6x32,2x32,14.772,814,814,0,0,799,4,8,5
io2_l1n1p2_l3n1p1_d1d2,8.419,16,5,966,1718,19,12,15,12,6x32,2x32,15.244,860,860,0,0,773,4,8,5
io2_l1n1p2_l3n1p2,8.419,16,5,1033,1573,21,8,15,8,6x32,2x32,15.232,865,865,0,0,781,4,8,5
io2_l1n1p2_l3n1p2_d1d2,8.419,16,5,1031,1671,21,7,15,7,6x32,2x32,14.348,902,902,0,0,775,4,8,5
io2_l1n1p2_l3p1n1,9.32,18,8,4169,4368,162,6,33,6,6x32,2x32,24.654,2666,2666,0,0,3930,4,6,8
io2_l1n1p2_l3p1n1_d1d2,9.263,18,14,4505,4733,154,6,27,6,6x32,2x32,28.956,2925,2925,0,0,4159,4,6,14
io2_l1n1p2_l3p2n1,9.229,18,20,15640,8302,290,6,38,6,6x32,2x32,49.046,7607,6418,0,1189,12524,6,6,20
io2_l1n1p2_l3p2n1_d1d2,9.206,18,40,18668,10663,282,6,38,6,6x32,2x32,61.399,9470,7833,0,1637,14186,6,6,40
io2_l1p1n1_l3n1n1,9.263,18,14,4046,4303,138,37,13,37,6x32,2x32,25.686,2272,2272,0,0,3751,4,6,14
io2_l1p1n1_l3n1n1_d1d2,9.286,18,14,3986,4786,139,42,14,42,6x32,2x32,26.152,2375,2375,0,0,3711,4,6,14
io2_l1p1n1_l3n1n2,9.263,18,14,4176,4366,140,38,13,38,6x32,2x32,26.709,2418,2418,0,0,3808,4,6,14
io2_l1p1n1_l3n1n2_d1d2,9.286,18,14,4045,4738,141,37,14,37,6x32,2x32,26.69,2314,2314,0,0,3666,4,6,14
io2_l1p1n1_l3n1p1,9.263,18,14,4073,4386,139,37,14,37,6x32,2x32,28.254,2412,2412,0,0,3767,4,6,14
io2_l1p1n1_l3n1p1_d1d2,9.286,18,14,4012,4869,140,42,15,42,6x32,2x32,29.31,2460,2460,0,0,3692,4,6,14
io2_l1p1n1_l3n1p2,9.286,18,14,4202,4468,142,38,15,38,6x32,2x32,28.566,2550,2550,0,0,3828,4,6,14
