prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l5n1n1_l7n1n1,7.966,56,5,888,1592,32,13,25,13,5x32,1x32,20.114,874,874,0,0,645,28,0,5
io1_l2n1n1_l5n1n1_l7n1p1,7.966,56,7,1244,1912,33,13,27,13,5x32,1x32,22.961,1111,1102,0,9,875,28,0,7
io1_l2n1n1_l5n1n1_l7p1n1,9.177,56,14,3136,4753,219,75,27,75,5x32,1x32,32.151,2876,2876,0,0,2487,28,0,14
io1_l2n1p1_l5n1p1_l7n1n1,7.966,56,5,1060,1918,36,19,29,19,5x32,1x32,28.311,1215,1215,0,0,831,28,0,5
io1_l2n1p1_l5n1p1_l7n1p1,7.966,56,7,1416,2232,37,19,31,19,5x32,1x32,30.83,1447,1438,0,9,1059,28,0,7
io1_l2n1p1_l5n1p1_l7p1n1,9.177,56,14,3276,5069,223,81,31,81,5x32,1x32,40.479,3207,3207,0,0,2645,28,0,14
io1_l2p1n1_l5p1n1_l7n1n1,9.23,56,16,9195,18988,406,389,25,389,5x32,1x32,139.135,6191,4991,0,1200,8332,28,0,16
io1_l2p1n1_l5p1n1_l7n1p1,8.644,56,16,9324,19112,407,389,26,389,5x32,1x32,138.72,5863,4654,0,1209,8296,28,0,16
io1_l2p1n1_l5p1n1_l7p1n1,8.675,56,20,10768,21774,593,451,25,451,5x32,1x32,149.715,7802,6602,0,1200,9563,28,0,20
io2_l2n1n1_l5n1n1_l7n1n1,8.423,56,5,949,2110,33,15,26,15,8x32,2x32,19.971,1009,1009,0,0,797,28,0,5
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,7.966,56,5,1142,3170,34,44,27,44,8x32,2x32,22.154,1480,1480,0,0,1336,28,0,5
io2_l2n1n1_l5n1n1_l7n1n2,8.423,56,10,1390,2399,36,15,28,15,8x32,2x32,23.914,1351,1351,0,0,1057,28,0,10
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,9.085,56,5,1100,3110,37,39,27,39,8x32,2x32,22.024,1511,1511,0,0,1214,28,0,5
io2_l2n1n1_l5n1n1_l7n1p1,8.423,56,7,1446,2494,34,15,28,15,8x32,2x32,22.259,1252,1245,0,7,1023,28,0,7
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,8.423,56,7,1848,3646,35,44,29,44,8x32,2x32,24.947,1650,1642,0,8,1406,28,0,7
io2_l2n1n1_l5n1n1_l7n1p2,8.423,56,14,1972,2906,37,15,31,15,8x32,2x32,28.169,1752,1744,0,8,1481,28,0,14
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,8.423,56,14,2377,4080,38,39,32,39,8x32,2x32,31.116,2120,2113,0,7,1823,28,0,14
io2_l2n1n1_l5n1n1_l7p1n1,9.597,56,28,5072,6321,220,45,34,45,8x32,2x32,43.867,4886,4886,0,0,4323,28,0,28
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,9.597,56,28,5597,8842,221,69,35,69,8x32,2x32,43.998,5515,5515,0,0,4386,28,0,28
io2_l2n1n1_l5n1n1_l7p2n1,9.634,56,28,5387,7756,412,77,34,77,8x32,2x32,43.634,4975,4975,0,0,4552,28,0,28
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,9.14,56,56,9012,11391,413,69,47,69,8x32,2x32,63.858,8674,8674,0,0,7742,26,0,56
io2_l2n1n2_l5n1n2_l7n1n1,9.085,56,8,1165,2199,39,15,27,15,8x32,2x32,22.851,1135,1135,0,0,755,28,0,8
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,7.966,56,8,1418,3231,40,30,28,30,8x32,2x32,25.306,1492,1492,0,0,1370,28,0,8
io2_l2n1n2_l5n1n2_l7n1n2,9.085,56,10,1446,2363,42,15,28,15,8x32,2x32,24.18,1394,1394,0,0,951,28,0,10
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,8.423,56,8,1376,3171,43,25,28,25,8x32,2x32,25.088,1546,1546,0,0,1187,28,0,8
io2_l2n1n2_l5n1n2_l7n1p1,9.066,56,10,1662,2589,40,15,29,15,8x32,2x32,26.09,1385,1377,0,8,981,28,0,10
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,9.066,56,10,2124,3713,41,30,30,30,8x32,2x32,27.244,1719,1711,0,8,1455,28,0,10
io2_l2n1n2_l5n1n2_l7n1p2,9.066,56,14,2028,2876,43,15,31,15,8x32,2x32,28.734,1813,1805,0,8,1375,28,0,14
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,9.066,56,14,2493,4022,44,25,32,25,8x32,2x32,30.673,2105,2099,0,6,1829,28,0,14
io2_l2n1n2_l5n1n2_l7p1n1,9.634,56,28,5128,6273,226,45,34,45,8x32,2x32,44.271,4880,4880,0,0,4217,28,0,28
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,9.634,56,28,5713,8765,227,55,35,55,8x32,2x32,45.288,5514,5514,0,0,4538,28,0,28
io2_l2n1n2_l5n1n2_l7p2n1,9.672,56,28,5443,7724,418,77,34,77,8x32,2x32,44.874,4984,4984,0,0,4444,28,0,28
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,9.177,56,56,9128,11315,419,55,47,55,8x32,2x32,67.214,8719,8719,0,0,7792,28,0,56
io2_l2n1p1_l5n1p1_l7n1n1,8.423,56,5,1125,2480,37,23,30,23,8x32,2x32,28.024,1356,1356,0,0,986,28,0,5
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,7.966,56,5,1322,3626,38,68,31,68,8x32,2x32,27.516,1765,1765,0,0,1328,28,0,5
io2_l2n1p1_l5n1p1_l7n1n2,8.423,56,10,1566,2769,40,23,32,23,8x32,2x32,32.832,1682,1682,0,0,1246,28,0,10
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,9.085,56,5,1280,3566,41,63,31,63,8x32,2x32,29.163,1835,1835,0,0,1238,28,0,5
io2_l2n1p1_l5n1p1_l7n1p1,8.423,56,7,1622,2858,38,23,32,23,8x32,2x32,30.42,1562,1554,0,8,1213,28,0,7
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,8.423,56,7,2028,4102,39,68,33,68,8x32,2x32,32.829,1999,1991,0,8,1507,28,0,7
