prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l5n1n1_l7n1n1,8.847,56,5,888,1586,32,13,25,13,5x32,1x32,38.692,844,844,0,0,641,28,0,5
io1_l2n1n1_l5n1n1_l7n1p1,8.847,56,7,1244,1902,33,13,27,13,5x32,1x32,40.033,1112,1103,0,9,868,28,0,7
io1_l2n1n1_l5n1n1_l7p1n1,9.251,56,14,3136,4733,219,75,27,75,5x32,1x32,47.984,2870,2870,0,0,2484,28,0,14
io1_l2n1p1_l5n1p1_l7n1n1,8.847,56,5,1030,1916,36,19,29,19,5x32,1x32,39.212,1193,1193,0,0,799,28,0,5
io1_l2n1p1_l5n1p1_l7n1p1,8.847,56,7,1386,2226,37,19,31,19,5x32,1x32,40.476,1457,1448,0,9,1026,28,0,7
io1_l2n1p1_l5n1p1_l7p1n1,9.251,56,14,3246,5053,223,81,31,81,5x32,1x32,48.847,3223,3223,0,0,2609,28,0,14
io1_l2p1n1_l5p1n1_l7n1n1,8.905,56,16,9195,18972,406,389,25,389,5x32,1x32,57.628,6131,4931,0,1200,8270,28,0,16
io1_l2p1n1_l5p1n1_l7n1p1,8.905,56,16,9324,19096,407,389,26,389,5x32,1x32,59.348,5965,4756,0,1209,8298,28,0,16
io1_l2p1n1_l5p1n1_l7p1n1,8.999,56,20,10768,21750,593,451,25,451,5x32,1x32,62.247,7652,6452,0,1200,9560,28,0,20
io2_l2n1n1_l5n1n1_l7n1n1,8.847,56,5,949,2104,33,15,26,15,8x32,2x32,16.269,957,957,0,0,797,28,0,5
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,8.847,56,5,1013,3160,34,44,27,44,8x32,2x32,16.605,1358,1358,0,0,812,28,0,5
io2_l2n1n1_l5n1n1_l7n1n2,8.847,56,10,1390,2387,36,15,28,15,8x32,2x32,20.598,1278,1278,0,0,1057,28,0,10
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,9.011,56,5,1036,3104,37,39,27,39,8x32,2x32,16.963,1418,1418,0,0,853,28,0,5
io2_l2n1n1_l5n1n1_l7n1p1,8.847,56,7,1446,2484,34,15,28,15,8x32,2x32,18.236,1230,1221,0,9,1023,28,0,7
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,8.847,56,7,1704,3636,35,44,29,44,8x32,2x32,18.616,1597,1587,0,10,1042,28,0,7
io2_l2n1n1_l5n1n1_l7n1p2,8.847,56,14,1972,2886,37,15,31,15,8x32,2x32,22.965,1749,1740,0,9,1481,28,0,14
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,8.847,56,14,2313,4060,38,39,32,39,8x32,2x32,23.743,2110,2101,0,9,1580,28,0,14
io2_l2n1n1_l5n1n1_l7p1n1,9.229,56,28,5072,6281,220,45,34,45,8x32,2x32,37.115,4843,4843,0,0,4317,28,0,28
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,9.359,56,28,5533,8802,221,69,35,69,8x32,2x32,36.735,5448,5448,0,0,4314,28,0,28
io2_l2n1n1_l5n1n1_l7p2n1,9.251,56,28,5387,7716,412,77,34,77,8x32,2x32,37.622,5026,5026,0,0,4548,28,0,28
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,9.359,56,56,8948,11311,413,69,47,69,8x32,2x32,53.841,8706,8706,0,0,7590,26,0,56
io2_l2n1n2_l5n1n2_l7n1n1,8.847,56,8,1165,2191,39,15,27,15,8x32,2x32,18.798,1087,1087,0,0,755,28,0,8
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,9.011,56,8,1289,3219,40,30,28,30,8x32,2x32,19.741,1387,1387,0,0,1057,28,0,8
io2_l2n1n2_l5n1n2_l7n1n2,8.847,56,10,1446,2351,42,15,28,15,8x32,2x32,19.932,1344,1344,0,0,951,28,0,10
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,8.858,56,8,1312,3163,43,25,28,25,8x32,2x32,19.84,1460,1460,0,0,1060,28,0,8
io2_l2n1n2_l5n1n2_l7n1p1,8.847,56,10,1662,2577,40,15,29,15,8x32,2x32,21.179,1370,1361,0,9,981,28,0,10
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,8.999,56,10,1980,3701,41,30,30,30,8x32,2x32,22.298,1652,1642,0,10,1251,28,0,10
io2_l2n1n2_l5n1n2_l7n1p2,8.847,56,14,2028,2856,43,15,31,15,8x32,2x32,24.143,1809,1800,0,9,1375,28,0,14
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,8.999,56,14,2429,4002,44,25,32,25,8x32,2x32,25.605,2119,2110,0,9,1705,28,0,14
io2_l2n1n2_l5n1n2_l7p1n1,9.229,56,28,5128,6233,226,45,34,45,8x32,2x32,37.814,4830,4830,0,0,4213,28,0,28
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,9.382,56,28,5649,8725,227,55,35,55,8x32,2x32,38.309,5397,5397,0,0,4465,28,0,28
io2_l2n1n2_l5n1n2_l7p2n1,9.251,56,28,5443,7684,418,77,34,77,8x32,2x32,38.256,4938,4938,0,0,4442,28,0,28
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,9.382,56,56,9064,11235,419,55,47,55,8x32,2x32,55.921,8556,8556,0,0,7706,28,0,56
io2_l2n1p1_l5n1p1_l7n1n1,8.847,56,5,1125,2478,37,23,30,23,8x32,2x32,21.918,1300,1300,0,0,990,28,0,5
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,8.847,56,5,1227,3620,38,68,31,68,8x32,2x32,21.291,1676,1676,0,0,1034,28,0,5
io2_l2n1p1_l5n1p1_l7n1n2,8.847,56,10,1566,2761,40,23,32,23,8x32,2x32,25.063,1603,1603,0,0,1249,28,0,10
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,8.858,56,5,1250,3564,41,63,31,63,8x32,2x32,21.753,1726,1726,0,0,1075,28,0,5
io2_l2n1p1_l5n1p1_l7n1p1,8.847,56,7,1622,2852,38,23,32,23,8x32,2x32,23.257,1536,1527,0,9,1217,28,0,7
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,8.847,56,7,1918,4096,39,68,33,68,8x32,2x32,24.415,1958,1948,0,10,1262,28,0,7
io2_l2n1p1_l5n1p1_l7n1p2,8.847,56,14,2148,3254,41,23,35,23,8x32,2x32,28.568,2044,2035,0,9,1671,28,0,14
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,8.847,56,14,2527,4520,42,63,36,63,8x32,2x32,29.331,2453,2444,0,9,1779,28,0,14
io2_l2n1p1_l5n1p1_l7p1n1,9.229,56,28,5216,6641,224,53,38,53,8x32,2x32,43.193,5114,5114,0,0,4473,28,0,28
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,9.229,56,28,5717,9246,225,93,39,93,8x32,2x32,42.424,5658,5658,0,0,4505,28,0,28
io2_l2n1p1_l5n1p1_l7p2n1,9.251,56,28,5501,8076,416,85,38,85,8x32,2x32,43.934,5225,5225,0,0,4693,28,0,28
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,9.229,56,56,9132,11755,417,93,51,93,8x32,2x32,60.838,9127,9127,0,0,7782,28,0,56
io2_l2n1p2_l5n1p2_l7n1n1,8.562,56,5,1185,2401,43,23,30,23,8x32,2x32,20.835,1303,1303,0,0,861,28,0,5
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,9.011,56,5,1413,3513,44,52,31,52,8x32,2x32,21.782,1696,1696,0,0,1224,28,0,5
io2_l2n1p2_l5n1p2_l7n1n2,8.562,56,10,1626,2684,46,23,32,23,8x32,2x32,24.485,1601,1601,0,0,1120,28,0,10
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,8.813,56,5,1436,3454,47,47,31,47,8x32,2x32,21.846,1720,1720,0,0,1263,28,0,5
io2_l2n1p2_l5n1p2_l7n1p1,8.55,56,7,1682,2787,44,23,32,23,8x32,2x32,23.781,1570,1561,0,9,1087,28,0,7
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,8.999,56,7,2104,3995,45,52,33,52,8x32,2x32,24.148,1947,1937,0,10,1452,28,0,7
io2_l2n1p2_l5n1p2_l7n1p2,8.55,56,14,2208,3189,47,23,35,23,8x32,2x32,28.543,2068,2059,0,9,1545,28,0,14
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,8.55,56,14,2713,4419,48,47,36,47,8x32,2x32,28.696,2448,2439,0,9,1969,28,0,14
io2_l2n1p2_l5n1p2_l7p1n1,8.933,56,28,5276,6561,230,53,38,53,8x32,2x32,42.364,5113,5113,0,0,4343,28,0,28
io2_l2n1p2_l5n1p2_l7p1n1_d1d2,8.933,56,28,5873,9128,231,77,39,77,8x32,2x32,41.299,5614,5614,0,0,4662,28,0,28
io2_l2n1p2_l5n1p2_l7p2n1,8.955,56,28,5563,7996,422,85,38,85,8x32,2x32,42.435,5305,5305,0,0,4568,28,0,28
io2_l2n1p2_l5n1p2_l7p2n1_d1d2,8.824,56,56,9316,11639,423,77,51,77,8x32,2x32,58.333,9120,9120,0,0,8197,28,0,56
io2_l2p1n1_l5p1n1_l7n1n1,9.367,56,140,12951,18690,407,199,67,199,8x32,2x32,93.126,7471,7471,0,0,8165,28,0,140
io2_l2p1n1_l5p1n1_l7n1n1_d1d2,9.639,56,158,23677,31165,408,214,74,214,8x32,2x32,124.464,15716,15716,0,0,18430,28,0,158
io2_l2p1n1_l5p1n1_l7n1n2,9.367,56,142,13232,18847,410,199,68,199,8x32,2x32,93.852,7695,7695,0,0,8361,28,0,142
io2_l2p1n1_l5p1n1_l7n1n2_d1d2,9.661,56,83,20596,27492,411,209,49,209,8x32,2x32,93.737,14454,14454,0,0,18726,28,0,83
io2_l2p1n1_l5p1n1_l7n1p1,9.367,56,142,13448,19108,408,199,69,199,8x32,2x32,95.126,7727,7718,0,9,8369,28,0,142
io2_l2p1n1_l5p1n1_l7n1p1_d1d2,9.367,56,151,24272,31086,409,214,73,214,8x32,2x32,124.856,15647,15637,0,10,19485,28,0,151
io2_l2p1n1_l5p1n1_l7n1p2,9.367,56,146,13814,19372,411,199,71,199,8x32,2x32,98.185,8145,8136,0,9,8794,28,0,146
io2_l2p1n1_l5p1n1_l7n1p2_d1d2,9.367,56,161,25329,31560,412,209,77,209,8x32,2x32,127.744,16728,16719,0,9,19775,28,0,161
io2_l2p1n1_l5p1n1_l7p1n1,9.344,56,184,18283,24075,594,229,82,229,8x32,2x32,123.198,13288,13288,0,0,12329,28,0,184
io2_l2p1n1_l5p1n1_l7p1n1_d1d2,9.367,56,169,27397,36141,595,239,78,239,8x32,2x32,135.068,18692,18692,0,0,23059,28,0,169
io2_l2p1n1_l5p1n1_l7p2n1,9.39,56,160,17318,24412,786,261,74,261,8x32,2x32,110.666,13127,13127,0,0,12106,20,0,160
io2_l2p1n1_l5p1n1_l7p2n1_d1d2,9.322,56,176,29628,37776,787,239,83,239,8x32,2x32,140.488,22549,22549,0,0,28528,28,0,176
io2_l2p2n1_l5p2n1_l7n1n1,9.002,56,26,18008,17979,663,263,30,263,8x32,2x32,187.242,14283,11899,0,2384,17863,28,0,26
io2_l2p2n1_l5p2n1_l7n1n1_d1d2,9.382,56,52,24948,26547,664,204,41,204,8x32,2x32,234.416,17798,14514,0,3284,23422,28,0,52
io2_l2p2n1_l5p2n1_l7n1n2,8.905,56,26,18030,17901,666,263,30,263,8x32,2x32,201.362,14085,11701,0,2384,17903,28,0,26
io2_l2p2n1_l5p2n1_l7n1n2_d1d2,9.229,56,52,24985,26484,667,199,41,199,8x32,2x32,228.613,17681,14399,0,3282,23478,28,0,52
io2_l2p2n1_l5p2n1_l7n1p1,8.905,56,26,18278,18158,664,263,31,263,8x32,2x32,212.502,14278,11885,0,2393,18893,28,0,26
io2_l2p2n1_l5p2n1_l7n1p1_d1d2,8.988,56,52,25412,26818,665,204,42,204,8x32,2x32,279.193,17675,14383,0,3292,23545,28,0,52
io2_l2p2n1_l5p2n1_l7n1p2,8.905,56,26,18158,18044,667,263,31,263,8x32,2x32,213.954,14204,11811,0,2393,17882,28,0,26
io2_l2p2n1_l5p2n1_l7n1p2_d1d2,8.835,56,52,25382,26706,668,199,42,199,8x32,2x32,292.66,17635,14344,0,3291,23557,28,0,52
io2_l2p2n1_l5p2n1_l7p1n1,8.952,56,34,19836,21010,850,293,32,293,8x32,2x32,230.958,17016,14632,0,2384,19435,28,0,34
io2_l2p2n1_l5p2n1_l7p1n1_d1d2,8.858,56,52,26293,29958,851,229,39,229,8x32,2x32,303.344,19668,16386,0,3282,24233,28,0,52
io2_l2p2n1_l5p2n1_l7p2n1,8.999,56,34,20023,22453,1042,325,32,325,8x32,2x32,227.992,17096,14712,0,2384,19535,28,0,34
io2_l2p2n1_l5p2n1_l7p2n1_d1d2,8.858,56,68,28428,32022,1043,229,47,229,8x32,2x32,319.276,23009,19727,0,3282,26678,20,0,68
io4_l2n1n1_l5n1n1_l7n1n1,8.847,56,5,985,2425,35,19,28,19,14x32,4x32,16.279,1137,1137,0,0,780,28,0,5
io4_l2n1n1_l5n1n1_l7n1n1_d1d2,8.847,112,5,1145,5200,36,19,29,19,14x32,4x32,37.364,2422,2422,0,0,798,0,112,5
io4_l2n1n1_l5n1n1_l7n1n2,8.858,56,5,1012,2634,38,22,28,22,14x32,4x32,16.514,1252,1252,0,0,820,28,0,5
io4_l2n1n1_l5n1n1_l7n1n2_d1d2,8.858,112,5,1247,5463,39,22,29,22,14x32,4x32,38.382,2543,2543,0,0,841,0,112,5
io4_l2n1n1_l5n1n1_l7n1n4,8.847,56,20,2308,3511,44,19,34,19,14x32,4x32,26.376,2101,2101,0,0,1629,28,0,20
io4_l2n1n1_l5n1n1_l7n1n4_d1d2,8.847,112,20,2491,5866,45,19,35,19,14x32,4x32,48.428,3375,3375,0,0,1771,0,112,20
io4_l2n1n1_l5n1n1_l7n1p1,8.847,56,7,1611,2869,36,19,30,19,14x32,4x32,18.602,1415,1405,0,10,1007,28,0,7
io4_l2n1n1_l5n1n1_l7n1p1_d1d2,8.847,112,7,1635,5580,37,19,31,19,14x32,4x32,40.491,2695,2683,0,12,1031,0,112,7
io4_l2n1n1_l5n1n1_l7n1p2,8.847,56,14,2352,3622,39,22,33,22,14x32,4x32,23.298,1935,1925,0,10,1531,28,0,14
io4_l2n1n1_l5n1n1_l7n1p2_d1d2,8.847,112,14,2381,6387,40,22,34,22,14x32,4x32,45.301,3230,3218,0,12,1554,0,112,14
io4_l2n1n1_l5n1n1_l7n1p4,8.847,56,28,3343,4377,45,19,39,19,14x32,4x32,31.87,2938,2929,0,9,2446,28,0,28
io4_l2n1n1_l5n1n1_l7n1p4_d1d2,8.847,112,28,3599,7820,46,19,40,19,14x32,4x32,53.27,4223,4213,0,10,2601,0,112,28
io4_l2n1n1_l5n1n1_l7p1n1,8.835,56,56,9857,9251,222,33,48,33,14x32,4x32,55.285,7984,7984,0,0,8543,28,0,56
io4_l2n1n1_l5n1n1_l7p1n1_d1d2,8.835,176,56,10018,17685,223,33,49,33,14x32,4x32,87.886,9636,9636,0,0,8521,64,48,56
io4_l2n1n1_l5n1n1_l7p2n1,9.229,56,56,9444,10899,414,49,48,49,14x32,4x32,55.893,8843,8843,0,0,8051,28,0,56
io4_l2n1n1_l5n1n1_l7p2n1_d1d2,8.835,176,112,18258,23615,415,36,73,36,14x32,4x32,117.918,16935,16935,0,0,15563,62,48,112
io4_l2n1n1_l5n1n1_l7p4n1,9.251,56,56,9869,13323,798,81,48,81,14x32,4x32,53.271,8707,8707,0,0,8405,24,0,56
io4_l2n1n1_l5n1n1_l7p4n1_d1d2,8.835,176,224,35757,33094,799,33,121,33,14x32,4x32,191.441,31459,31459,0,0,30714,64,48,224
io4_l2n1n2_l5n1n2_l7n1n1,8.847,56,8,1291,2864,41,25,29,25,14x32,4x32,19.451,1328,1328,0,0,1013,28,0,8
io4_l2n1n2_l5n1n2_l7n1n1_d1d2,8.847,112,8,1429,5679,42,21,30,21,14x32,4x32,39.532,2608,2608,0,0,1012,0,112,8
io4_l2n1n2_l5n1n2_l7n1n2,8.858,56,8,1318,3073,44,28,29,28,14x32,4x32,20.423,1436,1436,0,0,1057,28,0,8
io4_l2n1n2_l5n1n2_l7n1n2_d1d2,8.858,112,8,1531,5942,45,24,30,24,14x32,4x32,39.891,2709,2709,0,0,1054,0,112,8
io4_l2n1n2_l5n1n2_l7n1n4,8.847,56,20,2454,3827,50,25,34,25,14x32,4x32,27.716,2227,2227,0,0,1798,28,0,20
io4_l2n1n2_l5n1n2_l7n1n4_d1d2,8.847,112,20,2615,6030,51,21,35,21,14x32,4x32,47.423,3500,3500,0,0,1923,0,112,20
io4_l2n1n2_l5n1n2_l7n1p1,8.847,56,10,1917,3314,42,25,31,25,14x32,4x32,22.466,1589,1579,0,10,1240,28,0,10
io4_l2n1n2_l5n1n2_l7n1p1_d1d2,8.847,112,10,1919,6065,43,21,32,21,14x32,4x32,41.652,2874,2862,0,12,1241,0,112,10
io4_l2n1n2_l5n1n2_l7n1p2,8.847,56,14,2498,3944,45,28,33,28,14x32,4x32,25.606,2080,2070,0,10,1698,28,0,14
io4_l2n1n2_l5n1n2_l7n1p2_d1d2,8.847,112,14,2505,6749,46,24,34,24,14x32,4x32,45.558,3368,3356,0,12,1701,0,112,14
io4_l2n1n2_l5n1n2_l7n1p4,8.847,56,28,3489,4699,51,25,39,25,14x32,4x32,33.277,3079,3070,0,9,2617,28,0,28
io4_l2n1n2_l5n1n2_l7n1p4_d1d2,8.847,112,28,3723,8182,52,21,40,21,14x32,4x32,54.438,4356,4346,0,10,2747,0,112,28
io4_l2n1n2_l5n1n2_l7p1n1,8.835,56,56,10003,9555,228,39,48,39,14x32,4x32,56.153,8090,8090,0,0,8702,28,0,56
io4_l2n1n2_l5n1n2_l7p1n1_d1d2,8.835,176,56,10142,18028,229,35,49,35,14x32,4x32,83.518,9914,9914,0,0,8671,60,48,56
io4_l2n1n2_l5n1n2_l7p2n1,9.229,56,56,9590,11203,420,55,48,55,14x32,4x32,57.206,9000,9000,0,0,8233,28,0,56
io4_l2n1n2_l5n1n2_l7p2n1_d1d2,8.835,176,112,18382,23958,421,38,73,38,14x32,4x32,119.366,16980,16980,0,0,15710,64,48,112
io4_l2n1n2_l5n1n2_l7p4n1,9.251,56,56,10015,13643,804,87,48,87,14x32,4x32,55.674,8940,8940,0,0,8573,24,0,56
io4_l2n1n2_l5n1n2_l7p4n1_d1d2,8.835,176,224,35881,33438,805,35,121,35,14x32,4x32,189.643,32058,32058,0,0,30879,62,48,224
io4_l2n1n4_l5n1n4_l7n1n1,8.847,56,14,1751,3002,53,19,31,19,14x32,4x32,23.272,1517,1517,0,0,960,28,0,14
io4_l2n1n4_l5n1n4_l7n1n1_d1d2,8.847,112,14,2023,6625,54,19,32,19,14x32,4x32,43.411,2803,2803,0,0,1474,0,112,14
io4_l2n1n4_l5n1n4_l7n1n2,8.858,56,14,1778,3226,56,22,31,22,14x32,4x32,23.636,1622,1622,0,0,1004,28,0,14
io4_l2n1n4_l5n1n4_l7n1n2_d1d2,8.858,112,14,2125,6903,57,22,32,22,14x32,4x32,43.858,2918,2918,0,0,1515,0,112,14
io4_l2n1n4_l5n1n4_l7n1n4,8.847,56,20,2594,3719,62,19,34,19,14x32,4x32,27.219,2297,2297,0,0,1620,28,0,20
io4_l2n1n4_l5n1n4_l7n1n4_d1d2,8.847,112,20,2889,6346,63,19,35,19,14x32,4x32,47.515,3567,3567,0,0,2253,0,112,20
io4_l2n1n4_l5n1n4_l7n1p1,8.847,56,16,2377,3452,54,19,33,19,14x32,4x32,26.071,1810,1800,0,10,1189,28,0,16
io4_l2n1n4_l5n1n4_l7n1p1_d1d2,8.847,112,16,2513,5811,55,19,34,19,14x32,4x32,45.738,3089,3077,0,12,1701,0,112,16
io4_l2n1n4_l5n1n4_l7n1p2,8.847,56,20,2958,4082,57,22,35,22,14x32,4x32,28.59,2284,2274,0,10,1646,28,0,20
io4_l2n1n4_l5n1n4_l7n1p2_d1d2,8.847,112,20,3099,6351,58,22,36,22,14x32,4x32,49.447,3560,3548,0,12,2161,0,112,20
io4_l2n1n4_l5n1n4_l7n1p4,8.847,56,28,3629,4591,63,19,39,19,14x32,4x32,33.971,3170,3161,0,9,2435,28,0,28
io4_l2n1n4_l5n1n4_l7n1p4_d1d2,8.847,112,28,3997,7250,64,19,40,19,14x32,4x32,54.519,4436,4426,0,10,3079,0,112,28
io4_l2n1n4_l5n1n4_l7p1n1,8.835,56,56,10143,9423,240,33,48,33,14x32,4x32,57.087,8433,8433,0,0,8525,28,0,56
io4_l2n1n4_l5n1n4_l7p1n1_d1d2,8.835,176,56,10416,16494,241,33,49,33,14x32,4x32,84.388,10067,10067,0,0,9005,60,48,56
io4_l2n1n4_l5n1n4_l7p2n1,9.229,56,56,9730,11087,432,49,48,49,14x32,4x32,56.363,8875,8875,0,0,8132,28,0,56
io4_l2n1n4_l5n1n4_l7p2n1_d1d2,8.835,176,112,18656,23576,433,36,73,36,14x32,4x32,112.223,17295,17295,0,0,16029,48,48,112
io4_l2n1n4_l5n1n4_l7p4n1,9.251,56,56,10155,13511,816,81,48,81,14x32,4x32,58.795,9167,9167,0,0,8396,28,0,56
io4_l2n1n4_l5n1n4_l7p4n1_d1d2,8.835,176,224,36155,33058,817,33,121,33,14x32,4x32,180.874,31510,31510,0,0,31149,48,48,224
io4_l2n1p1_l5n1p1_l7n1n1,8.847,56,5,1183,2819,39,25,32,25,14x32,4x32,21.912,1481,1481,0,0,984,28,0,5
io4_l2n1p1_l5n1p1_l7n1n1_d1d2,8.847,112,5,1291,5738,40,25,33,25,14x32,4x32,49.048,2765,2765,0,0,952,0,112,5
io4_l2n1p1_l5n1p1_l7n1n2,8.858,56,5,1210,3028,42,28,32,28,14x32,4x32,22.481,1590,1590,0,0,1025,28,0,5
