prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l4n1n1,8.419,32,5,727,1231,22,10,19,10,4x32,1x32,12.65,630,630,0,0,512,16,0,5
io1_l2n1n1_l4n1p1,8.419,32,5,856,1352,23,10,20,10,4x32,1x32,13.199,675,666,0,9,543,16,0,5
io1_l2n1n1_l4p1n1,9.298,32,5,4579,3927,146,72,17,72,4x32,1x32,22.668,4148,4148,0,0,4204,16,0,5
io1_l2n1p1_l4n1n1,8.419,32,5,814,1408,24,13,21,13,4x32,1x32,16.436,803,803,0,0,611,16,0,5
io1_l2n1p1_l4n1p1,8.419,32,5,943,1515,25,13,22,13,4x32,1x32,16.994,835,826,0,9,631,16,0,5
io1_l2n1p1_l4p1n1,9.298,32,5,4634,4087,148,75,19,75,4x32,1x32,28.18,4001,4001,0,0,4256,16,0,5
io1_l2p1n1_l4n1n1,8.835,32,16,7977,11121,209,198,21,198,4x32,1x32,79.342,3591,2991,0,600,5823,16,0,16
io1_l2p1n1_l4n1p1,8.835,32,16,8106,11236,210,198,22,198,4x32,1x32,88.843,3666,3057,0,609,5841,16,0,16
io1_l2p1n1_l4p1n1,8.999,32,16,11630,13783,333,260,19,260,4x32,1x32,99.872,6510,5910,0,600,9628,16,0,16
io2_l2n1n1_l4n1n1,8.419,32,5,747,1546,23,12,20,12,6x32,2x32,12.788,700,700,0,0,616,16,0,5
io2_l2n1n1_l4n1n1_d1d2,8.572,32,5,792,2151,24,29,21,29,6x32,2x32,13.127,931,931,0,0,624,16,0,5
io2_l2n1n1_l4n1n2,8.419,32,10,1165,1837,25,12,22,12,6x32,2x32,15.937,1026,1026,0,0,844,16,0,10
io2_l2n1n1_l4n1n2_d1d2,8.572,32,5,839,2117,26,24,21,24,6x32,2x32,14,949,949,0,0,672,16,0,5
io2_l2n1n1_l4n1p1,8.419,32,5,796,1629,24,12,21,12,6x32,2x32,13.156,770,770,0,0,647,16,0,5
io2_l2n1n1_l4n1p1_d1d2,8.572,32,5,853,2246,25,29,22,29,6x32,2x32,13.406,929,929,0,0,670,16,0,5
io2_l2n1n1_l4n1p2,8.419,32,10,1357,1992,26,12,23,12,6x32,2x32,17.001,1024,1015,0,9,880,16,0,10
io2_l2n1n1_l4n1p2_d1d2,8.572,32,10,1591,2701,27,24,24,24,6x32,2x32,17.029,1232,1223,0,9,949,16,0,10
io2_l2n1n1_l4p1n1,9.229,32,10,5337,4006,147,42,20,42,6x32,2x32,25.767,3867,3867,0,0,4759,16,0,10
io2_l2n1n1_l4p1n1_d1d2,9.428,32,18,5276,6202,148,54,24,54,6x32,2x32,31.271,4526,4526,0,0,4294,16,0,18
io2_l2n1n1_l4p2n1,9.298,32,10,8758,6099,275,74,20,74,6x32,2x32,33.909,6734,6734,0,0,7993,16,0,10
io2_l2n1n1_l4p2n1_d1d2,9.229,32,20,10221,6459,276,54,25,54,6x32,2x32,37.159,6606,6606,0,0,9095,16,0,20
io2_l2n1n2_l4n1n1,8.419,32,8,999,1684,26,12,21,12,6x32,2x32,15.405,792,792,0,0,675,16,0,8
io2_l2n1n2_l4n1n1_d1d2,8.572,32,8,1042,2275,27,22,22,22,6x32,2x32,16.11,953,953,0,0,848,16,0,8
io2_l2n1n2_l4n1n2,8.419,32,10,1257,1852,28,12,22,12,6x32,2x32,17.479,1045,1045,0,0,839,16,0,10
io2_l2n1n2_l4n1n2_d1d2,8.572,32,8,1089,2241,29,17,22,17,6x32,2x32,16.368,997,997,0,0,861,16,0,8
io2_l2n1n2_l4n1p1,8.419,32,8,1048,1767,27,12,22,12,6x32,2x32,15.616,856,856,0,0,706,16,0,8
io2_l2n1n2_l4n1p1_d1d2,8.572,32,8,1103,2370,28,22,23,22,6x32,2x32,16.578,989,989,0,0,850,16,0,8
io2_l2n1n2_l4n1p2,8.419,32,10,1449,2007,29,12,23,12,6x32,2x32,17.998,1059,1050,0,9,875,16,0,10
io2_l2n1n2_l4n1p2_d1d2,8.572,32,10,1681,2702,30,17,24,17,6x32,2x32,19.455,1226,1217,0,9,1077,16,0,10
io2_l2n1n2_l4p1n1,9.229,32,10,5397,3997,150,42,20,42,6x32,2x32,29.224,4117,4117,0,0,4728,16,0,10
io2_l2n1n2_l4p1n1_d1d2,9.206,32,18,5334,6181,151,47,24,47,6x32,2x32,34.024,4594,4594,0,0,4371,16,0,18
io2_l2n1n2_l4p2n1,9.298,32,10,8818,6090,278,74,20,74,6x32,2x32,36.59,6663,6663,0,0,8089,16,0,10
io2_l2n1n2_l4p2n1_d1d2,9.382,32,20,10279,6436,279,47,25,47,6x32,2x32,38.954,6546,6546,0,0,9178,16,0,20
io2_l2n1p1_l4n1n1,8.419,32,5,851,1745,25,16,22,16,6x32,2x32,17.424,840,840,0,0,729,16,0,5
io2_l2n1p1_l4n1n1_d1d2,8.572,32,5,899,2381,26,41,23,41,6x32,2x32,17.314,1099,1099,0,0,741,16,0,5
io2_l2n1p1_l4n1n2,8.419,32,10,1269,2036,27,16,24,16,6x32,2x32,21.157,1191,1191,0,0,953,16,0,10
io2_l2n1p1_l4n1n2_d1d2,8.419,32,5,946,2347,28,36,23,36,6x32,2x32,17.862,1132,1132,0,0,787,16,0,5
io2_l2n1p1_l4n1p1,8.419,32,5,900,1826,26,16,23,16,6x32,2x32,17.859,950,950,0,0,761,16,0,5
io2_l2n1p1_l4n1p1_d1d2,8.572,32,5,960,2472,27,41,24,41,6x32,2x32,18.095,1167,1167,0,0,771,16,0,5
io2_l2n1p1_l4n1p2,8.419,32,10,1461,2177,28,16,25,16,6x32,2x32,22.191,1186,1177,0,9,989,16,0,10
io2_l2n1p1_l4n1p2_d1d2,8.419,32,10,1698,2916,29,36,26,36,6x32,2x32,21.737,1400,1391,0,9,1062,16,0,10
io2_l2n1p1_l4p1n1,9.229,32,10,5409,4186,149,46,22,46,6x32,2x32,32.141,3949,3949,0,0,4890,16,0,10
io2_l2n1p1_l4p1n1_d1d2,9.206,32,18,5368,6424,150,66,26,66,6x32,2x32,36.448,4613,4613,0,0,4362,16,0,18
io2_l2n1p1_l4p2n1,9.298,32,10,8830,6279,277,78,22,78,6x32,2x32,38.756,6827,6827,0,0,8092,16,0,10
io2_l2n1p1_l4p2n1_d1d2,9.229,32,20,10313,6681,278,66,27,66,6x32,2x32,41.228,6293,6293,0,0,9222,16,0,20
io2_l2n1p2_l4n1n1,8.847,32,5,945,1718,28,16,22,16,6x32,2x32,16.731,884,884,0,0,699,16,0,5
io2_l2n1p2_l4n1n1_d1d2,8.847,32,5,1040,2351,29,33,23,33,6x32,2x32,17.379,1139,1139,0,0,915,16,0,5
io2_l2n1p2_l4n1n2,8.847,32,10,1363,2009,30,16,24,16,6x32,2x32,20.334,1197,1197,0,0,986,16,0,10
